"Model number","sSpec number","Cores","Frequency","Turbo","L2 cache","L3 cache","TDP","Socket","I/O bus","Memory","Release date","Part number(s)","Release price (USD)"
"Quad Core","","","","","","","","","","","","",""
"Xeon E5-1607 v2","SR1B3 (S1)","4","3 GHz","N/A","4 × 256 KiB","10 MiB","130 W","LGA 2011","DMI 2.0","4 × DDR3-1600","Sept 10, 2013","CM8063501376801","$244"
"Xeon E5-1620 v2","SR1AR (S1)","4","3.7 GHz","0/0/0/2","4 × 256 KiB","10 MiB","130 W","LGA 2011","DMI 2.0","4 × DDR3-1866","Sept 10, 2013","CM8063501292405","$294"
"Six Core","","","","","","","","","","","","",""
"Xeon E5-1650 v2","SR1AQ (S1)","6","3.5 GHz","1/1/2/2/2/4","6 × 256 KiB","12 MiB","130 W","LGA 2011","DMI 2.0","4 × DDR3-1866","Sept 10, 2013","CM8063501292204","$583"
"Xeon E5-1660 v2","SR1AP (S1)","6","3.7 GHz","1/1/1/1/2/3","6 × 256 KiB","15 MiB","130 W","LGA 2011","DMI 2.0","4 × DDR3-1866","Sept 10, 2013","CM8063501291808 BX80635E51660V2","$1080"
"Eight Core","","","","","","","","","","","","",""
"Xeon E5-1680 v2","SR1MJ (M1)","8","3 GHz","4/4/4/4/5/7/8/9","8 × 256 KiB","25 MiB","130 W","LGA 2011","DMI 2.0","4 × DDR3-1866","Sept 10, 2013","CM8063501589600","$1723"
