"Model number","sSpec number","Cores","Frequency","Turbo","L2 cache","L3 cache","TDP","Socket","I/O bus","Memory","Release date","Part number(s)","Release price (USD)"
"Quad Core","","","","","","","","","","","","",""
"Xeon E5-4603","SR0LF (M1)","4","2 GHz","N/A","4 × 256 KiB","10 MiB","95 W","LGA 2011","2 × 6.4 GT/s QPI","4 × DDR3-1066","May 14, 2012","CM8062101190400 BX80621E54603","$551 $555"
"Six Core","","","","","","","","","","","","",""
"Xeon E5-4607","SR0JL (Unknown) SR0KU (C2)","6","2.2 GHz","N/A","6 × 256 KiB","12 MiB","95 W","LGA 2011","2 × 6.4 GT/s QPI","4 × DDR3-1066","May 14, 2012","CM8062101038501 BX80621E54607","$885 $889"
"Xeon E5-4610","SR0JJ (Unknown) SR0KS (C2)","6","2.4 GHz","3/3/4/4/5/5","6 × 256 KiB","15 MiB","95 W","LGA 2011","2 × 7.2 GT/s QPI","4 × DDR3-1333","May 14, 2012","CM8062100862401 BX80621E54610","$1219 $1223"
"Xeon E5-4617","SR0JQ (Unknown) SR0L5 (C2)","6","2.9 GHz","3/3/4/4/5/5","6 × 256 KiB","15 MiB","130 W","LGA 2011","2 × 7.2 GT/s QPI","4 × DDR3-1600","May 14, 2012","CM8062101145700","$1611"
"Eight Core","","","","","","","","","","","","",""
"Xeon E5-4620","SR0JP (Unknown) SR0L4 (C2)","8","2.2 GHz","1/1/2/2/3/3/4/4","8 × 256 KiB","16 MiB","95 W","LGA 2011","2 × 7.2 GT/s QPI","4 × DDR3-1333","May 14, 2012","CM8062101145500 BX80621E54620","$1611 $1616"
"Xeon E5-4640","SR0JK (Unknown) SR0KT (Unknown) SR0QT (C2)","8","2.4 GHz","1/1/2/2/3/3/4/4","8 × 256 KiB","20 MiB","95 W","LGA 2011","2 × 8.0 GT/s QPI","4 × DDR3-1600","May 14, 2012","CM8062101038303 BX80621E54640 CM8062101229400","$2725 $2730 $2725"
"Xeon E5-4650","SR0JH (Unknown) SR0KJ (Unknown) SR0QR (C2)","8","2.7 GHz","2/2/3/3/3/5/6/6","8 × 256 KiB","20 MiB","130 W","LGA 2011","2 × 8.0 GT/s QPI","4 × DDR3-1600","May 14, 2012","CM8062107184516 BX80621E54650 CM8062101229200","$3616 $3620 $3616"
"Eight Core, low power","","","","","","","","","","","","",""
"Xeon E5-4650L","SR0JN (Unknown) SR0L3 (Unknown) SR0QS (C2)","8","2.6 GHz","2/2/3/3/4/4/5/5","8 × 256 KiB","20 MiB","115 W","LGA 2011","2 × 8.0 GT/s QPI","4 × DDR3-1600","May 14, 2012","CM8062101144700 BX80621E54650L CM8062101229300","$3616 $3620 $3616"
