"Model number","sSpec number","Cores","Frequency","Turbo","L2 cache","L3 cache","TDP","Socket","I/O bus","Memory","Release date","Part number(s)","Release price (USD)"
"Four Core","","","","","","","","","","","","",""
"Xeon E5-2623 v3","SR208 (R2)","4","3 GHz","3/3/5/5","4 × 256 KiB","10 MiB","105 W","LGA 2011-3","2 × 8.0 GT/s QPI","4 × DDR4-1866","Sep 8, 2014","CM8064401832000","$444"
"Xeon E5-2637 v3","SR202 (R2)","4","3.5 GHz","1/1/2/2","4 × 256 KiB","15 MiB","135 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR4-2133","Sep 8, 2014","CM8064401724101","$996"
"Six Core","","","","","","","","","","","","",""
"Xeon E5-2603 v3","SR20A (R2)","6","1.6 GHz","N/A","6 × 256 KiB","15 MiB","85 W","LGA 2011-3","2 × 6.4 GT/s QPI","4 × DDR4-1600","Sep 8, 2014","CM8064401844200 BX80644E52603V3","$213"
"Xeon E5-2608L v3","SR21P (R2) SR20B (R2)","6","2 GHz","N/A","6 × 256 KiB","15 MiB","50 W","LGA 2011-3","2 × 6.4 GT/s QPI","4 × DDR4-1866","Sep 8, 2014","CM8064402033500 CM8064401909500","$441"
"Xeon E5-2609 v3","SR1YC (M1)","6","1.9 GHz","N/A","6 × 256 KiB","15 MiB","85 W","LGA 2011-3","2 × 6.4 GT/s QPI","4 × DDR4-1600","Sep 8, 2014","CM8064401850800 BX80644E52609V3","$306"
"Xeon E5-2620 v3","SR207 (R2)","6","2.4 GHz","2/3/4/5/8/8","6 × 256 KiB","15 MiB","85 W","LGA 2011-3","2 × 8.0 GT/s QPI","4 × DDR4-1866","Sep 8, 2014","CM8064401831400 BX80644E52620V3","$417"
"Xeon E5-2643 v3","SR1XQ (M1) SR204 (R2)","6","3.4 GHz","2/2/2/2/3/3","6 × 256 KiB","20 MiB","135 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR4-2133","Sep 8, 2014","CM8064401440408 CM8064401724501","$1552"
"Eight Core","","","","","","","","","","","","",""
