"Model number","sSpec number","Cores","Frequency","Turbo","L2 cache","L3 cache","TDP","Socket","I/O bus","Memory","Release date","Part number(s)","Release price (USD)"
"Xeon E5-4610 v4","SR2SE (M0)","10","1.8 GHz","N/A","10 × 256 KiB","25 MiB","105 W","LGA 2011-3","2 × 6.4 GT/s QPI","4 × DDR4","June 2016","CM8066002062800","$1219"
"Xeon E5-4620 v4","SR2SJ (M0)","10","2.1 GHz","2.6 GHz","10 × 256 KiB","25 MiB","105 W","LGA 2011-3","2 × 8.0 GT/s QPI","4 × DDR4","June 2016","CM8066002883900","$1668"
"Xeon E5-4627 v4","SR2SN (M0)","10","2.6 GHz","3.2 GHz","10 × 256 KiB","25 MiB","135 W","LGA 2011-3","2 × 8.0 GT/s QPI","4 × DDR4","June 2016","CM8066002330800","$2225"
"Xeon E5-4628L v4","SR2SB (M0)","14","1.8 GHz","2.2 GHz","14 × 256 KiB","35 MiB","75 W","LGA 2011-3","2 × 8.0 GT/s QPI","4 × DDR4","June 2016","CM8066002061000","$2535"
"Xeon E5-4640 v4","SR2SC (M0)","12","2.1 GHz","2.6 GHz","12 × 256 KiB","30 MiB","105 W","LGA 2011-3","2 × 8.0 GT/s QPI","4 × DDR4","June 2016","CM8066002061701","$2837"
"Xeon E5-4650 v4","SR2SA (M0)","14","2.2 GHz","2.8 GHz","14 × 256 KiB","35 MiB","105 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR4","June 2016","CM8066002028621","$3838"
"Xeon E5-4655 v4","SR2SH (M0)","8","2.5 GHz","3.2 GHz","8 × 256 KiB","30 MiB","135 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR4","June 2016","CM8066002065000","$4616"
"Xeon E5-4660 v4","SR2SD (B0)","16","2.2 GHz","3.0 GHz","16 × 256 KiB","40 MiB","120 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR4","June 2016","CM8066002062605","$4727"
"Xeon E5-4667 v4","SR2SF (B0)","18","2.2 GHz","3.0 GHz","18 × 256 KiB","45 MiB","135 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR4","June 2016","CM8066002064600","$5729"
"Xeon E5-4669 v4","SR2SG (B0)","22","2.2 GHz","3.0 GHz","22 × 256 KiB","55 MiB","135 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR4","June 2016","CM8066002064800","$7007"
