"Model number","sSpec number","Cores","Frequency","Turbo","L2 cache","L3 cache","GPU model","GPU frequency","TDP","Socket","I/O bus","Release date","Part number(s)","Release price (USD)"
"Quad Core","","","","","","","","","","","","","",""
"Xeon E3-1220 v5","SR2CQ (R0)","4","3 GHz","3.5 GHz","4 × 256 KiB","8 MiB","N/A","N/A","80 W","LGA 1151","DMI 3.0","October 2015","CM8066201921804 BX80662E31220V5","$193"
"Xeon E3-1225 v5","SR2CS (R0)","4","3.3 GHz","3.7 GHz","4 × 256 KiB","8 MiB","HD Graphics P530","400–1150 MHz","80 W","LGA 1151","DMI 3.0","October 2015","CM8066201922605 BX80662E31225V5","$213"
"Xeon E3-1230 v5","SR2CN (R0)","4","3.4 GHz","3.8 GHz","4 × 256 KiB","8 MiB","N/A","N/A","80 W","LGA 1151","DMI 3.0","October 2015","CM8066201921713 BX80662E31230V5","$250 $261"
"Xeon E3-1240 v5","SR2CM (R0)","4","3.5 GHz","3.9 GHz","4 × 256 KiB","8 MiB","N/A","N/A","80 W","LGA 1151","DMI 3.0","October 2015","CM8066201921715 BX80662E31240V5","$272 $282"
"Xeon E3-1245 v5","SR2CU (R0)","4","3.5 GHz","3.9 GHz","4 × 256 KiB","8 MiB","HD Graphics P530","400–1150 MHz","80 W","LGA 1151","DMI 3.0","October 2015","CM8066201934913 BX80662E31245V5","$284"
"Xeon E3-1270 v5","SR2CP (R0)","4","3.6 GHz","4.0 GHz","4 × 256 KiB","8 MiB","N/A","N/A","80 W","LGA 1151","DMI 3.0","October 2015","CM8066201921712 BX80662E31270V5","$328 $339"
"Xeon E3-1275 v5","SR2CT (R0)","4","3.6 GHz","4.0 GHz","4 × 256 KiB","8 MiB","HD Graphics P530","400–1150 MHz","80 W","LGA 1151","DMI 3.0","October 2015","CM8066201934909 BX80662E31275V5","$339 $350"
"Xeon E3-1280 v5","SR2CL (R0)","4","3.7 GHz","4.0 GHz","4 × 256 KiB","8 MiB","N/A","N/A","80 W","LGA 1151","DMI 3.0","October 2015","CM8066201921607","$612"
"Quad Core, low power","","","","","","","","","","","","","",""
"Xeon E3-1260L v5","SR2CR (R0)","4","2.9 GHz","3.9 GHz","4 × 256 KiB","8 MiB","N/A","N/A","45 W","LGA 1151","DMI 3.0","October 2015","CM8066201921903","$294"
"Xeon E3-1268L v5","SR2LQ (R0)","4","2.4 GHz","3.4 GHz","4 × 256 KiB","8 MiB","HD Graphics P530","350–1000 MHz","35 W","LGA 1151","DMI 3.0","October 2015","CM8066201937901","$377"
"Quad Core, ultra-low power","","","","","","","","","","","","","",""
"Xeon E3-1235L v5","SR2CV (R0)","4","2 GHz","3.0 GHz","4 × 256 KiB","6 MiB","HD Graphics P530","400–1000 MHz","25 W","LGA 1151","DMI 3.0","October 2015","CM8066201935807","$250"
"Xeon E3-1240L v5","SR2CW (R0)","4","2.1 GHz","3.2 GHz","4 × 256 KiB","8 MiB","N/A","N/A","25 W","LGA 1151","DMI 3.0","October 2015","CM8066201935808","$278"
