"Model number","sSpec number","Cores","Frequency","Turbo","L2 cache","L3 cache","TDP","Socket","I/O bus","Memory","Release date","Part number(s)","Release price (USD)"
"Quad Core","","","","","","","","","","","","",""
"Xeon E5-2623 v4","SR2PJ (R0)","4","2.6 GHz","2/4/6/6","4 × 256 KiB","10 MiB","85 W","LGA 2011-3","2 × 8.0 GT/s QPI","4 × DDR4-2133","April 2016","CM8066002402400","$444"
"Xeon E5-2637 v4","SR2P3 (R0)","4","3.5 GHz","1/1/2/2","4 × 256 KiB","15 MiB","135 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR4-2400","April 2016","CM8066002041100","$996"
"Six Core","","","","","","","","","","","","",""
"Xeon E5-2603 v4","SR2P0 (R0)","6","1.7 GHz","N/A","6 × 256 KiB","15 MiB","85 W","LGA 2011-3","2 × 6.4 GT/s QPI","4 × DDR4-1866","April 2016","BX80660E52603V4 CM8066002032805","$213"
"Xeon E5-2643 v4","SR2P4 (R0)","6","3.4 GHz","2/2/2/2/3/3","6 × 256 KiB","20 MiB","135 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR4-2400","April 2016","CM8066002041500","$1552"
"Eight Core","","","","","","","","","","","","",""
"Xeon E5-2608L v4","SR2P9 (R0)","8","1.6 GHz","1/1/1/1/1/1/1/1","8 × 256 KiB","20 MiB","50 W","LGA 2011-3","2 × 6.4 GT/s QPI","4 × DDR4-1866","April 2016","CM8066002045102","$363"
"Xeon E5-2609 v4","SR2P1 (R0)","8","1.7 GHz","N/A","8 × 256 KiB","20 MiB","85 W","LGA 2011-3","2 × 6.4 GT/s QPI","4 × DDR4-1866","April 2016","BX80660E52609V4 CM8066002032901","$306"
"Xeon E5-2620 v4","SR2R6 (R0)","8","2.1 GHz","2/3/4/5/6/7/9/9","8 × 256 KiB","20 MiB","85 W","LGA 2011-3","2 × 8.0 GT/s QPI","4 × DDR4-2133","April 2016","BX80660E52620V4 CM8066002032201","$417"
"Xeon E5-2667 v4","SR2P5 (R0)","8","3.2 GHz","3/3/3/3/3/3/4/4","8 × 256 KiB","20 MiB","135 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR4-2400","April 2016","CM8066002041900","$2057"
"Xeon E5-2689A v4","SR2KZ","8","3.4 GHz","1/?/?/?/?/?/?/2","8 × 256 KiB","20 MiB","145 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR4-2400","2016","CM8066002810500",""
"Ten Core","","","","","","","","","","","","",""
"Xeon E5-2618L v4","SR2PE (R0)","10","2.2 GHz","2/2/3/4/5/6/7/8/10/10","10 × 256 KiB","25 MiB","75 W","LGA 2011-3","2 × 8.0 GT/s QPI","4 × DDR4-2133","April 2016","CM8066002061300","$779"
"Xeon E5-2630 v4","SR2R7 (R0)","10","2.2 GHz","2/2/2/3/4/5/6/7/9/9","10 × 256 KiB","25 MiB","85 W","LGA 2011-3","2 × 8.0 GT/s QPI","4 × DDR4-2133","April 2016","BX80660E52630V4 CM8066002032301","$667"
"Xeon E5-2630L v4","SR2P2 (R0)","10","1.8 GHz","2/3/4/5/6/7/8/9/11/11","10 × 256 KiB","25 MiB","55 W","LGA 2011-3","2 × 8.0 GT/s QPI","4 × DDR4-2133","April 2016","CM8066002033202","$612"
"Xeon E5-2640 v4","SR2NZ (R0)","10","2.4 GHz","2/2/3/4/5/6/7/8/10/10","10 × 256 KiB","25 MiB","90 W","LGA 2011-3","2 × 8.0 GT/s QPI","4 × DDR4-2133","April 2016","BX80660E52640V4 CM8066002032701","$939"
"Xeon E5-2689 v4","SR2T7 (B0)","10","3.1 GHz","6/6/6/6/6/6/6/6/7/7","10 × 256 KiB","25 MiB","165 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR4-2400","April 2016","CM8066002648200","$2723"
"Twelve Core","","","","","","","","","","","","",""
"Xeon E5-2628L v4","SR2NC (M0)","12","1.9 GHz","2/2/2/2/2/2/2/2/2/3/ 5/5","12 × 256 KiB","30 MiB","75 W","LGA 2011-3","2 × 8.0 GT/s QPI","4 × DDR4-2133","April 2016","CM8066002044903","$1364"
