"Model number","sSpec number","Cores","Frequency","Turbo","L2 cache","L3 cache","TDP","Socket","I/O bus","Memory","Release date","Part number(s)","Release price (USD)"
"Xeon E5-2650 v4","SR2N3 (M0)","12","2.2 GHz","3/3/3/3/3/3/3/3/4/5/ 7/7","12 × 256 KiB","30 MiB","105 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR4-2400","April 2016","BX80660E52650V4 CM8066002031103","$1166"
"Xeon E5-2666 v4","SR2N9 (M0)","12","2.8 GHz","3/?/?/?/?/?/?/?/?/?/ ?/6","12 × 256 KiB","30 MiB","145 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR4-2400","2016","CM8066002034302","OEM for Amazon"
"Xeon E5-2687W v4","SR2NA (M0)","12","3 GHz","2/2/2/2/2/2/2/2/2/3/ 5/5","12 × 256 KiB","30 MiB","160 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR4-2400","April 2016","BX80660E52687V4 CM8066002042802","$2141"
"Fourteen Core","","","","","","","","","","","","",""
"Xeon E5-2648L v4","SR2ND (M0)","14","1.8 GHz","3/3/3/3/3/3/3/3/3/3/ 4/5/7/7","14 × 256 KiB","35 MiB","75 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR4-2400","April 2016","CM8066002189001","$1544"
"Xeon E5-2650L v4","SR2N8 (M0)","14","1.7 GHz","3/3/3/3/3/3/3/3/3/4/ 5/6/8/8","14 × 256 KiB","35 MiB","65 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR4-2400","April 2016","CM8066002033006","$1329"
"Xeon E5-2658 v4","SR2NB (M0)","14","2.3 GHz","2/2/2/2/2/2/2/2/2/2/ 2/5/5/5","14 × 256 KiB","35 MiB","105 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR4-2400","April 2016","CM8066002044801","$1832"
"Xeon E5-2660 v4","SR2N4 (M0)","14","2 GHz","4/4/4/4/4/4/5/6/7/8/ 9/10/12/12","14 × 256 KiB","35 MiB","105 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR4-2400","April 2016","BX80660E52660V4 CM8066002031201","$1445"
"Xeon E5-2680 v4","SR2N7 (M0)","14","2.4 GHz","5/5/5/5/5/5/5/5/5/5/ 6/7/9/9","14 × 256 KiB","35 MiB","120 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR4-2400","April 2016","BX80660E52680V4 CM8066002031501","$1745"
"Xeon E5-2690 v4","SR2N2 (M0)","14","2.6 GHz","6/6/6/6/6/6/6/6/6/6/ 6/7/9/9","14 × 256 KiB","35 MiB","135 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR4-2400","April 2016","BX80660E52690V4 CM8066002030908","$2090"
"Sixteen Core","","","","","","","","","","","","",""
"Xeon AWS-1100 v4","SR2HZ (B0)","16","2.4 GHz","3/?/?/?/?/?/?/?/?/?/ ?/?/?/?/?/6","16 × 256 KiB","40 MiB","145 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR4-2400","2016","CM8066002034209",""
"Xeon E5-2676 v4","SR2JY (B0)","16","2.4 GHz","6/?/?/?/?/?/?/?/?/?/ ?/?/?/?/?/?","16 × 256 KiB","40 MiB","145 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR4-2400","2016","CM8066002396203",""
"Xeon E5-2682 v4","SR2K4 (B0)","16","2.5 GHz","4/4/4/4/4/4/4/4/4/4/ 4/4/4/4/5/5","16 × 256 KiB","40 MiB","120 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR4-2400","April 2016","CM8066002647700",""
"Xeon E5-2683 v4","SR2JT (B0)","16","2.1 GHz","5/5/5/5/5/5/5/5/5/5/ 5/5/6/7/9/9","16 × 256 KiB","40 MiB","120 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR4-2400","April 2016","CM8066002023604","$1846"
"Xeon E5-2697A v4","SR2K1 (B0)","16","2.6 GHz","5/5/5/5/5/5/5/5/5/5/ 5/6/7/8/10/10","16 × 256 KiB","40 MiB","145 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR4-2400","April 2016","CM8066002645900","$2891"
"Eighteen Core","","","","","","","","","","","","",""
"Xeon E5-2686 v4","SR2K8 (B0)","18","2.3 GHz","4/4/4/4/4/4/4/4/4/4/ 4/4/4/4/4/5/7/7","18 × 256 KiB","45 MiB","145 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR4-2400","April 2016","CM8066002685800","OEM"
"Xeon E5-2695 v4","SR2J1 (B0)","18","2.1 GHz","5/5/5/5/5/5/5/5/5/5/ 5/6/7/8/9/10/12/12","18 × 256 KiB","45 MiB","120 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR4-2400","April 2016","CM8066002023801","$2424"
"Xeon E5-2697 v4","SR2JV (B0)","18","2.3 GHz","5/5/5/5/5/5/5/5/5/5/ 6/7/8/9/10/11/13/13","18 × 256 KiB","45 MiB","145 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR4-2400","April 2016","CM8066002023907","$2702"
"Twenty Core","","","","","","","","","","","","",""
"Xeon E5-2673 v4","SR2KE (B0)","20","2.3 GHz","3/?/?/?/?/?/?/?/?/?/ ?/?/?/?/?/?/?/?/?/13","20 × 256 KiB","50 MiB","135 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR4-2400","2016","CM8066002733700",""
"Xeon E5-2679 v4","SR2K5 (B0)","20","2.5 GHz","7/7/7/7/7/7/7/7/7/7/ 7/7/7/7/7/7/7/7/8/8","20 × 256 KiB","50 MiB","200 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR4-2400","April 2016","CM8066002647800",""
"Xeon E5-2698 v4","SR2JW (B0)","20","2.2 GHz","5/5/5/5/5/5/5/5/5/5/ 5/6/7/8/9/10/11/12/14/14","20 × 256 KiB","50 MiB","135 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR4-2400","April 2016","CM8066002024000","$3226"
"Twenty-Two Core","","","","","","","","","","","","",""
"Xeon E5-2696 v4","SR2J0 (B0)","22","2.2 GHz","6/6/6/6/6/6/6/6/6/6/ 6/6/6/7/8/9/10/11/12/13/ 15/15","22 × 256 KiB","55 MiB","150 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR4-2400","April 2016","CM8066002402501","OEM"
"Xeon E5-2699 v4","SR2JS (B0)","22","2.2 GHz","6/6/6/6/6/6/6/6/6/6/ 6/6/6/6/7/8/9/10/11/12/ 14/14","22 × 256 KiB","55 MiB","145 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR4-2400","April 2016","CM8066002022506","$4115"
"Xeon E5-2699A v4","SR30Y (B0)","22","2.4 GHz","3.6 GHz","22 × 256 KiB","55 MiB","145 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR4-2400","October 2016","CM8066003197800","$4938"
"Xeon E5-2699C v4","SR2TF (B0)","22","2.2 GHz","2/2/2/2/2/2/2/2/2/2/ 2/2/2/2/2/2/2/2/2/2/ 2/2","22 × 256 KiB","55 MiB","145 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR4-2400","2016","","OEM"
"Xeon E5-2699R v4","SR31X (B0)","22","2.2 GHz","3.6 GHz","22 × 256 KiB","55 MiB","145 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR4-2400","October 2016","CM8066003216500","$4560"
"Xeon E5-2699P v4","","22","3 GHz","3.6 GHz","22 × 256 KiB","55 MiB","300 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR4-2400","January 2017","","OEM"
