"Model number","sSpec number","Cores","Frequency","Turbo","L2 cache","L3 cache","TDP","Socket","I/O bus","Memory","Release date","Part number(s)","Release price (USD)"
"Xeon E7-8855 v4","SR2S9 (B0)","14","2.1 GHz","3/3/3/3/3/3/3/3/3/3/ 4/5/7/7","14 × 256 KiB","35 MiB","140 W","LGA 2011-1","3 × 8.0 GT/s QPI","4 × DDR4-1866 4 × DDR3-1600","June 6, 2016","CM8066902675600","$3003"
"Xeon E7-8860 v4","SR2S8 (B0)","18","2.2 GHz","5/5/5/5/5/5/5/5/5/5/ 5/5/5/6/7/8/10/10","18 × 256 KiB","45 MiB","140 W","LGA 2011-1","3 × 9.6 GT/s QPI","4 × DDR4-1866 4 × DDR3-1600","June 6, 2016","CM8066902325800","$4061"
"Xeon E7-8867 v4","SR2S6 (B0)","18","2.4 GHz","4/4/4/4/4/4/4/4/4/4/ 4/4/4/5/6/7/9/9","18 × 256 KiB","45 MiB","165 W","LGA 2011-1","3 × 9.6 GT/s QPI","4 × DDR4-1866 4 × DDR3-1600","June 6, 2016","CM8066902028403","$4672"
"Xeon E7-8870 v4","SR2S1 (B0)","20","2.1 GHz","5/5/5/5/5/5/5/5/5/5/ 5/5/5/5/5/6/7/8/9/9","20 × 256 KiB","50 MiB","140 W","LGA 2011-1","3 × 9.6 GT/s QPI","4 × DDR4-1866 4 × DDR3-1600","June 6, 2016","CM8066902025802","$4672"
"Xeon E7-8880 v4","SR2S7 (B0)","22","2.2 GHz","4/4/4/4/4/4/4/4/4/4/ 4/4/4/4/4/5/6/7/8/9/ 11/11","22 × 256 KiB","55 MiB","150 W","LGA 2011-1","3 × 9.6 GT/s QPI","4 × DDR4-1866 4 × DDR3-1600","June 6, 2016","CM8066902325500","$5895"
"Xeon E7-8890 v4","SR2SS (B0)","24","2.2 GHz","4/4/4/4/4/4/4/4/4/4/ 4/4/4/4/4/4/5/6/7/8/ 9/10/12/12","24 × 256 KiB","60 MiB","165 W","LGA 2011-1","3 × 9.6 GT/s QPI","4 × DDR4-1866 4 × DDR3-1600","June 6, 2016","CM8066902885200","$7174"
"Xeon E7-8891 v4","SR2SQ (B0)","10","2.8 GHz","5/5/5/5/5/5/5/5/7/7","10 × 256 KiB","60 MiB","165 W","LGA 2011-1","3 × 9.6 GT/s QPI","4 × DDR4-1866 4 × DDR3-1600","June 6, 2016","CM8066902027903","$6841"
"Xeon E7-8893 v4","SR2SR (B0)","4","3.2 GHz","2/2/3/3","4 × 256 KiB","60 MiB","140 W","LGA 2011-1","3 × 9.6 GT/s QPI","4 × DDR4-1866 4 × DDR3-1600","June 6, 2016","CM8066902065502","$6841"
"Xeon E7-8894 v4","SR32U (B0)","24","2.4 GHz","2.8 GHz(all-core) 3.4 GHz(one-core)","24 × 256 KiB","60 MiB","165 W","LGA 2011-1","3 × 9.6 GT/s QPI","4 × DDR4-1866 4 × DDR3-1600","February 9, 2017","CM8066903251800","$8898"
