"Model number","sSpec number","Frequency","Turbo","Cores","L2 cache","L3 cache","I/O bus","Mult.","Memory","Voltage","TDP","Socket","Release date","Part number(s)","Release price (USD)"
"Six Core","","","","","","","","","","","","","","",""
"Xeon E7-2803","SLC3M (A2)","1.73 GHz","N/A","6","6 × 256 KiB","18 MiB","4 × 4.8 GT/s QPI","13×","4 × DDR3-1333","0.6–1.35 V","105 W","LGA 1567","April 3, 2011","AT80615006438AB","$774"
"Xeon E7-4807","SLC3L (A2)","1.87 GHz","N/A","6","6 × 256 KiB","18 MiB","4 × 4.8 GT/s QPI","14×","4 × DDR3-1333","0.6–1.35 V","95 W","LGA 1567","April 3, 2011","AT80615006432AB","$890"
"Eight Core","","","","","","","","","","","","","","",""
"Xeon E7-2820","SLC3R (A2)","2 GHz","1/1/1/2","8","8 × 256 KiB","18 MiB","4 × 5.86 GT/s QPI","15×","4 × DDR3-1333","0.6–1.35 V","105 W","LGA 1567","April 3, 2011","AT80615007245AA","$1334"
"Xeon E7-2830","SLC3J (A2)","2.13 GHz","1/1/1/2","8","8 × 256 KiB","24 MiB","4 × 6.4 GT/s QPI","16×","4 × DDR3-1333","0.6–1.35 V","105 W","LGA 1567","April 3, 2011","AT80615005787AB","$1779"
"Xeon E7-4820","SLC3G (A2)","2 GHz","1/1/1/2","8","8 × 256 KiB","18 MiB","4 × 5.86 GT/s QPI","15×","4 × DDR3-1333","0.6–1.35 V","105 W","LGA 1567","April 3, 2011","AT80615005772AC","$1446"
"Xeon E7-4830","SLC3Q (A2)","2.13 GHz","1/1/1/2","8","8 × 256 KiB","24 MiB","4 × 6.4 GT/s QPI","16×","4 × DDR3-1333","0.6–1.35 V","105 W","LGA 1567","April 3, 2011","AT80615007089AA BX80615E74830","$2059"
"Xeon E7-8830","SLC3K (A2)","2.13 GHz","1/1/1/2","8","8 × 256 KiB","24 MiB","4 × 6.4 GT/s QPI","16×","4 × DDR3-1333","0.6–1.35 V","105 W","LGA 1567","April 3, 2011","AT80615005826AB","$2280"
"Xeon E7-8837","SLC3N (A2)","2.67 GHz","1/1/1/1","8","8 × 256 KiB","24 MiB","4 × 6.4 GT/s QPI","20×","4 × DDR3-1333","0.6–1.35 V","130 W","LGA 1567","April 3, 2011","AT80615006750AB","$2280"
"Ten Core","","","","","","","","","","","","","","",""
"Xeon E7-2850","SLC3W (A2)","2 GHz","1/1/2/3/3","10","10 × 256 KiB","24 MiB","4 × 6.4 GT/s QPI","15×","4 × DDR3-1333","0.6–1.35 V","130 W","LGA 1567","April 3, 2011","AT80615007452AA","$2558"
"Xeon E7-2860","SLC3H (A2)","2.27 GHz","1/1/2/3/3","10","10 × 256 KiB","24 MiB","4 × 6.4 GT/s QPI","17×","4 × DDR3-1333","0.6–1.35 V","130 W","LGA 1567","April 3, 2011","AT80615005781AB","$3670"
"Xeon E7-2870","SLC3U (A2)","2.4 GHz","1/1/2/3/3","10","10 × 256 KiB","30 MiB","4 × 6.4 GT/s QPI","18×","4 × DDR3-1333","0.6–1.35 V","130 W","LGA 1567","April 3, 2011","AT80615007266AA","$4227"
"Xeon E7-4850","SLC3V (A2)","2 GHz","1/1/2/3/3","10","10 × 256 KiB","24 MiB","4 × 6.4 GT/s QPI","15×","4 × DDR3-1333","0.6–1.35 V","130 W","LGA 1567","April 3, 2011","AT80615007449AA","$2837"
"Xeon E7-4860","SLC3S (A2)","2.27 GHz","1/1/2/3/3","10","10 × 256 KiB","24 MiB","4 × 6.4 GT/s QPI","17×","4 × DDR3-1333","0.6–1.35 V","130 W","LGA 1567","April 3, 2011","AT80615007254AA","$3838"
"Xeon E7-4870","SLC3T (A2)","2.4 GHz","1/1/2/3/3","10","10 × 256 KiB","30 MiB","4 × 6.4 GT/s QPI","18×","4 × DDR3-1333","0.6–1.35 V","130 W","LGA 1567","April 3, 2011","AT80615007263AA BX80615E74870","$4394"
"Xeon E7-8850","SLC3D (A2)","2 GHz","1/1/2/3/3","10","10 × 256 KiB","24 MiB","4 × 6.4 GT/s QPI","15×","4 × DDR3-1333","0.6–1.35 V","130 W","LGA 1567","April 3, 2011","AT80615007446AA","$3059"
"Xeon E7-8860","SLC3F (A2)","2.27 GHz","1/1/2/3/3","10","10 × 256 KiB","24 MiB","4 × 6.4 GT/s QPI","17×","4 × DDR3-1333","0.6–1.35 V","130 W","LGA 1567","April 3, 2011","AT80615005760AB","$4061"
"Xeon E7-8870","SLC3E (A2)","2.4 GHz","1/1/2/3/3","10","10 × 256 KiB","30 MiB","4 × 6.4 GT/s QPI","18×","4 × DDR3-1333","0.6–1.35 V","130 W","LGA 1567","April 3, 2011","AT80615005757AB","$4616"
"Ten Core, low power","","","","","","","","","","","","","","",""
"Xeon E7-8867L","SLC3P (A2)","2.13 GHz","1/1/2/3/3","10","10 × 256 KiB","30 MiB","4 × 6.4 GT/s QPI","16×","4 × DDR3-1333","0.6–1.35 V","105 W","LGA 1567","April 3, 2011","AT80615007002AB","$4172"
