"Model Number","sSpec Number","Frequency","L2-Cache","L3-Cache","Front Side Bus","Mult","Voltage","TDP","Socket","Release Date","Part Number(s)","Release Price (USD)"
"Xeon 7110N","SL9QA (B0)","2500 MHz","2× 1024 KB","4096 KB","667 MT/s","15x","1.1–1.35 V","95 W","Socket 604","August 27, 2006","LF80550KF0604M","$856"
"Xeon 7110M","SL9Q9 (B0)","2600 MHz","2× 1024 KB","4096 KB","800 MT/s","13x","1.1–1.35 V","95 W","Socket 604","August 27, 2006","LF80550KG0644M","$856"
"Xeon 7120N","SL9HF (B0)","3000 MHz","2× 1024 KB","4096 KB","667 MT/s","18x","1.1–1.35 V","95 W","Socket 604","August 27, 2006","LF80550KF0804M","$1177"
"Xeon 7120M","SL9HC (B0)","3000 MHz","2× 1024 KB","4096 KB","800 MT/s","15x","1.1–1.35 V","95 W","Socket 604","August 27, 2006","LF80550KG0804M","$1177"
"Xeon 7130N","SL9HE (B0)","3166 MHz","2× 1024 KB","8192 KB","667 MT/s","19x","1.1–1.35 V","150 W","Socket 604","August 27, 2006","LF80550KF0878M","$1391"
"Xeon 7130M","SL9HB (B0)","3200 MHz","2× 1024 KB","8192 KB","800 MT/s","16x","1.1–1.35 V","150 W","Socket 604","August 27, 2006","LF80550KG0888M","$1391"
"Xeon 7140N","SL9HD (B0)","3333 MHz","2× 1024 KB","16384 KB","667 MT/s","20x","1.1–1.35 V","150 W","Socket 604","August 27, 2006","LF80550KF093007","$1980"
"Xeon 7140M","SL9HA (B0)","3400 MHz","2× 1024 KB","16384 KB","800 MT/s","17x","1.1–1.35 V","150 W","Socket 604","August 27, 2006","LF80550KG096007","$1980"
"Xeon 7150N","SL9YR (B0)","3500 MHz","2× 1024 KB","16384 KB","667 MT/s","21x","1.1–1.35 V","150 W","Socket 604","Q1 2007","LF80550KF100007","$2622"
