"Model number","sSpec number","Cores","Frequency","Turbo","L2 cache","L3 cache","TDP","Socket","I/O bus","Memory","Release date","Part number(s)","Release price (USD)"
"Six Core","","","","","","","","","","","","",""
"Xeon E7-4809 v2","SR1FD (D1)","6","1.9 GHz","N/A","6 × 256 KiB","12 MiB","105 W","LGA 2011-1","3 × 6.4 GT/s QPI","4 × DDR3-1333","Feb 18, 2014","CM8063601537106","$1223"
"Eight Core","","","","","","","","","","","","",""
"Xeon E7-4820 v2","SR1H0 (D1)","8","2 GHz","3/3/3/3/3/3/4/5","8 × 256 KiB","16 MiB","105 W","LGA 2011-1","3 × 7.2 GT/s QPI","4 × DDR3-1600","Feb 18, 2014","CM8063601521707","$1446"
"Ten Core","","","","","","","","","","","","",""
"Xeon E7-4830 v2","SR1GU (D1)","10","2.2 GHz","3/3/3/3/3/3/3/ 3/4/5","10 × 256 KiB","20 MiB","105 W","LGA 2011-1","3 × 7.2 GT/s QPI","4 × DDR3-1600","Feb 18, 2014","CM8063601374506","$2059"
"Twelve Core","","","","","","","","","","","","",""
"Xeon E7-4850 v2","SR1GP (D1)","12","2.3 GHz","3/3/3/3/3/3/3/ 3/3/3/4/5","12 × 256 KiB","24 MiB","105 W","LGA 2011-1","3 × 7.2 GT/s QPI","4 × DDR3-1600","Feb 18, 2014","CM8063601272906","$2837"
"Xeon E7-4860 v2","SR1GX (D1)","12","2.6 GHz","4/4/4/4/4/4/4/ 4/4/4/5/6","12 × 256 KiB","30 MiB","130 W","LGA 2011-1","3 × 8.0 GT/s QPI","4 × DDR3-1600","Feb 18, 2014","CM8063601453406","$3838"
"Fifteen Core","","","","","","","","","","","","",""
"Xeon E7-4870 v2","SR1GN (D1)","15","2.3 GHz","4/4/4/4/4/4/4/ 4/4/4/4/4/4/5/6","15 × 256 KiB","30 MiB","130 W","LGA 2011-1","3 × 8.0 GT/s QPI","4 × DDR3-1600","Feb 18, 2014","CM8063601272606","$4394"
"Xeon E7-4880 v2","SR1GM (D1)","15","2.5 GHz","4/4/4/4/4/4/4/ 4/4/4/4/4/4/5/6","15 × 256 KiB","37.5 MiB","130 W","LGA 2011-1","3 × 8.0 GT/s QPI","4 × DDR3-1600","Feb 18, 2014","CM8063601272512","$5506"
"Xeon E7-4890 v2","SR1GL (D1)","15","2.8 GHz","4/4/4/4/4/4/4/ 4/4/4/4/4/4/5/6","15 × 256 KiB","37.5 MiB","155 W","LGA 2011-1","3 × 8.0 GT/s QPI","4 × DDR3-1600","Feb 18, 2014","CM8063601272412","$6619"
