"Model number","sSpec number","Cores","Frequency","Turbo","L2 cache","L3 cache","GPU model","GPU frequency","TDP","Socket","I/O bus","Release date","Part number(s)","Release price (USD)"
"Dual Core, low power","","","","","","","","","","","","","",""
"Xeon E3-1220L","SR070 (Q0)","2","2.2 GHz","10/12","2 × 256 KiB","3 MiB","N/A","N/A","20 W","LGA 1155","DMI 2.0","April 3, 2011","CM8062307262834","$189"
"Quad Core","","","","","","","","","","","","","",""
"Xeon E3-1220","SR00F (D2)","4","3.1 GHz","1/2/2/3","4 × 256 KiB","8 MiB","N/A","N/A","80 W","LGA 1155","DMI 2.0","April 3, 2011","CM8062300921702 BX80623E31220","$189"
"Xeon E3-1225","SR00G (D2)","4","3.1 GHz","1/2/2/3","4 × 256 KiB","6 MiB","HD Graphics P3000","850–1350 MHz","95 W","LGA 1155","DMI 2.0","April 3, 2011","CM8062307262304 BX80623E31225","$194"
"Xeon E3-1230","SR00H (D2)","4","3.2 GHz","1/2/3/4","4 × 256 KiB","8 MiB","N/A","N/A","80 W","LGA 1155","DMI 2.0","April 3, 2011","CM8062307262610 BX80623E31230","$215"
"Xeon E3-1235","SR00J (D2)","4","3.2 GHz","1/2/3/4","4 × 256 KiB","8 MiB","HD Graphics P3000","850–1350 MHz","95 W","LGA 1155","DMI 2.0","April 3, 2011","CM8062307262206 BX80623E31235","$240"
"Xeon E3-1240","SR00K (D2)","4","3.3 GHz","1/2/3/4","4 × 256 KiB","8 MiB","N/A","N/A","80 W","LGA 1155","DMI 2.0","April 3, 2011","CM8062307262503 BX80623E31240","$250"
"Xeon E3-1245","SR00L (D2)","4","3.3 GHz","1/2/3/4","4 × 256 KiB","8 MiB","HD Graphics P3000","850–1350 MHz","95 W","LGA 1155","DMI 2.0","April 3, 2011","CM8062307262103 BX80623E31245","$262"
"Xeon E3-1270","SR00N (D2)","4","3.4 GHz","1/2/3/4","4 × 256 KiB","8 MiB","N/A","N/A","80 W","LGA 1155","DMI 2.0","April 3, 2011","CM8062307262403 BX80623E31270","$328"
"Xeon E3-1275","SR00P (D2)","4","3.4 GHz","1/2/3/4","4 × 256 KiB","8 MiB","HD Graphics P3000","850–1350 MHz","95 W","LGA 1155","DMI 2.0","April 3, 2011","CM8062307262003 BX80623E31275","$339"
"Xeon E3-1280","SR00R (D2)","4","3.5 GHz","1/2/3/4","4 × 256 KiB","8 MiB","N/A","N/A","95 W","LGA 1155","DMI 2.0","April 3, 2011","CM8062307261903 BX80623E31280","$612"
"Xeon E3-1290","SR055 (D2)","4","3.6 GHz","1/2/3/4","4 × 256 KiB","8 MiB","N/A","N/A","95 W","LGA 1155","DMI 2.0","May 29, 2011","CM8062307261903","$885"
"Quad Core, low power","","","","","","","","","","","","","",""
"Xeon E3-1260L","SR00M (D2)","4","2.4 GHz","1/4/8/9","4 × 256 KiB","8 MiB","HD Graphics 2000","650–1250 MHz","45 W","LGA 1155","DMI 2.0","April 3, 2011","CM8062301061800","$294"
