"Model number","sSpec number","Cores","Frequency","Turbo","L2 cache","L3 cache","TDP","Socket","I/O bus","Memory","Release date","Part number(s)","Release price (USD)"
"Six Core","","","","","","","","","","","","",""
"Xeon E5-4655 v3","SR22R (M1)","6","2.9 GHz","1/1/1/1/2/2","6 × 256 KiB","30 MiB","135 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR4-2133","June 1, 2015","CM8064402018600","$4616"
"Ten Core","","","","","","","","","","","","",""
"Xeon E5-4610 v3","SR22S (C1)","10","1.7 GHz","N/A","10 × 256 KiB","25 MiB","105 W","LGA 2011-3","2 × 6.4 GT/s QPI","4 × DDR4-1600","June 1, 2015","CM8064402018800","$1219"
"Xeon E5-4620 v3","SR22K (C1)","10","2 GHz","2/2/2/2/2/2/3/4/6/6","10 × 256 KiB","25 MiB","105 W","LGA 2011-3","2 × 8.0 GT/s QPI","4 × DDR4-1866","June 1, 2015","CM8064401442401","$1668"
"Xeon E5-4627 v3","SR22Q (M1)","10","2.6 GHz","4/4/4/4/4/4/4/4/6/6","10 × 256 KiB","25 MiB","135 W","LGA 2011-3","2 × 8.0 GT/s QPI","4 × DDR4-2133","June 1, 2015","CM8064401544203","$2225"
"Twelve Core","","","","","","","","","","","","",""
"Xeon E5-4640 v3","SR22L (C1)","12","1.9 GHz","2/2/2/2/2/2/2/3/4/5/7/7","12 × 256 KiB","30 MiB","105 W","LGA 2011-3","2 × 8.0 GT/s QPI","4 × DDR4-1866","June 1, 2015","CM8064401442601","$2859"
"Xeon E5-4648 v3","SR26R (C1)","12","1.7 GHz","2/2/2/2/2/2/2/2/2/3/5/5","12 × 256 KiB","30 MiB","105 W","LGA 2011-3","2 × 8.0 GT/s QPI","4 × DDR4-1866","June 1, 2015","CM8064402019100","$2405"
"Xeon E5-4650 v3","SR22J (C1)","12","2.1 GHz","3/3/3/3/3/3/3/3/4/5/7/7","12 × 256 KiB","30 MiB","105 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR4-2133","June 1, 2015","CM8064401441008","$2838"
"Fourteen Core","","","","","","","","","","","","",""
"Xeon E5-4660 v3","SR22P (C1)","14","2.1 GHz","3/3/3/3/3/3/3/3/3/4/5/6/8/8","14 × 256 KiB","35 MiB","120 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR4-2133","June 1, 2015","CM8064402018700","$4727"
"Sixteen Core","","","","","","","","","","","","",""
"Xeon E5-4667 v3","SR22N (C1)","16","2 GHz","3/3/3/3/3/3/3/3/3/3/4/5/6/7/9/9","16 × 256 KiB","40 MiB","135 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR4-2133","June 1, 2015","CM8064401864200","$5729"
"Eighteen Core","","","","","","","","","","","","",""
"Xeon E5-4669 v3","SR22M (C1)","18","2.1 GHz","3/3/3/3/3/3/3/3/3/3/3/3/3/4/5/6/8/8","18 × 256 KiB","45 MiB","135 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR4-2133","June 1, 2015","CM8064401864100","$7007"
