"Model Number","sSpec Number","Frequency","L2-Cache","L3-Cache","Front Side Bus","Multiplier","Voltage","TDP","Socket","Release Date","Part Number(s)","Release Price (USD)"
"Xeon MP 1.5","SL6GZ (A0) SL6KB (A0)","1500 MHz","512 KB","1024 KB","400 MT/s","15x","1.475 V","48 W","Socket 603","November 4, 2002","RN80532KC0211M BX80532KC1500E","$1177"
"Xeon MP 1.9","SL6H2 (A0) SL6KC (A0)","1900 MHz","512 KB","1024 KB","400 MT/s","19x","1.475 V","55 W","Socket 603","November 4, 2002","RN80532KC0371M BX80532KC1900E","$1980"
"Xeon MP 2.0","SL6YJ (B1) SL6Z6 (B1)","2000 MHz","512 KB","1024 KB","400 MT/s","20x","1.475 V","57 W","Socket 603","June 30, 2003","RN80532KC0411M BX80532KC2000E","$856"
"Xeon MP 2.0","SL66Z (A0) SL6KD (A0)","2000 MHz","512 KB","2048 KB","400 MT/s","20x","1.475 V","57 W","Socket 603","November 4, 2002","RN80532KC0412M BX80532KC2000F","$3692"
"Xeon MP 2.2","SL7A5 (C0)","2200 MHz","512 KB","2048 KB","400 MT/s","22x","1.475 V","65 W","Socket 603","March 2, 2004","RN80532KC0492M BX80532KC2200F","$1177"
"Xeon MP 2.5","SL6Z2 (B1) SL6Z7 (B1)","2500 MHz","512 KB","1024 KB","400 MT/s","25x","1.475 V","66 W","Socket 603","June 30, 2003","RN80532KC0601M BX80532KC2500E","$1980"
"Xeon MP 2.7","SL79Z (C0)","2700 MHz","512 KB","2048 KB","400 MT/s","27x","1.475 V","80 W","Socket 603","March 2, 2004","RN80532KC0682M BX80532KC2700F","$1980"
"Xeon MP 2.8","SL6YL (B1) SL6Z8 (B1)","2800 MHz","512 KB","2048 KB","400 MT/s","28x","1.475 V","72 W","Socket 603","June 30, 2003","RN80532KC0722M BX80532KC2800F","$3692"
"Xeon MP 3.0","SL79V (C0)","3000 MHz","512 KB","4096 KB","400 MT/s","30x","1.5 V","85 W","Socket 603","March 2, 2004","RN80532KC0804M BX80532KC3000H","$3692"
