"Model number","sSpec number","Cores","Frequency","Turbo","L2 cache","L3 cache","TDP","Socket","I/O bus","Memory","Release date","Part number(s)","Release price (USD)"
"Quad Core","","","","","","","","","","","","",""
"Xeon D-1513N","SR3KV (A1)","4","1.6 GHz","2.2 GHz","4 × 256 KiB","6 MiB","35 W","FC-BGA 1667","DMI 2.0","2 × DDR4-2133 2 × DDR3L-1600","July 2017","GG8068203255106","$192"
"Xeon D-1518","SR2DN (V2)","4","2.2 GHz","N/A","4 × 256 KiB","6 MiB","35 W","FC-BGA 1667","DMI 2.0","2 × DDR4-2133 2 × DDR3L-1600","November 2015","GG8067402569700","$234"
"Xeon D-1520","SR29B (V1)","4","2.2 GHz","2.6 GHz","4 × 256 KiB","6 MiB","45 W","FC-BGA 1667","DMI 2.0","2 × DDR4-2133 2 × DDR3L-1600","March 2015","GG8067401741800","$199"
"Xeon D-1521","SR2DF (V2)","4","2.4 GHz","2.7 GHz","4 × 256 KiB","6 MiB","45 W","FC-BGA 1667","DMI 2.0","2 × DDR4-2133 2 × DDR3L-1600","November 2015","GG8067402568800","$199"
"Xeon D-1523N","SR3KU (A1)","4","2 GHz","2.6 GHz","4 × 256 KiB","6 MiB","45 W","FC-BGA 1667","DMI 2.0","2 × DDR4-2133 2 × DDR3L-1600","July 2017","GG8068203255105","$256"
"Xeon D-1527","SR2DK (V2)","4","2.2 GHz","2.7 GHz","4 × 256 KiB","6 MiB","35 W","FC-BGA 1667","DMI 2.0","2 × DDR4-2133 2 × DDR3L-1600","November 2015","GG8067402569400","$259"
"Xeon D-1529","SR2DR (V2)","4","1.3 GHz","N/A","4 × 256 KiB","6 MiB","20 W","FC-BGA 1667","DMI 2.0","2 × DDR4-2133 2 × DDR3L-1600","April 2016","GG8067402570001","$324"
"Six Core","","","","","","","","","","","","",""
"Xeon D-1528","SR2DL (V2)","6","1.9 GHz","2.5 GHz","6 × 256 KiB","9 MiB","35 W","FC-BGA 1667","DMI 2.0","2 × DDR4-2133 2 × DDR3L-1600","November 2015","GG8067402569500","$389"
"Xeon D-1531","SR2DG (V2)","6","2.2 GHz","2.7 GHz","6 × 256 KiB","9 MiB","45 W","FC-BGA 1667","DMI 2.0","2 × DDR4-2133 2 × DDR3L-1600","November 2015","GG8067402568900","$348"
"Xeon D-1533N","SR3KS (A1)","6","2.1 GHz","2.7 GHz","6 × 256 KiB","9 MiB","45 W","FC-BGA 1667","DMI 2.0","2 × DDR4-2133 2 × DDR3L-1600","July 2017","GG8068203255103","$470"
"Eight Core","","","","","","","","","","","","",""
"Xeon D-1537","SR2GF (V2)","8","1.7 GHz","2.3 GHz","8 × 256 KiB","12 MiB","35 W","FC-BGA 1667","DMI 2.0","2 × DDR4-2133 2 × DDR3L-1600","November 2015","GG8067402612700","$571"
"Xeon D-1539","SR2DH (V2)","8","1.6 GHz","2.2 GHz","8 × 256 KiB","12 MiB","35 W","FC-BGA 1667","DMI 2.0","2 × DDR4-2133 2 × DDR3L-1600","April 2016","GG8067402569000","$590"
