"Model number","sSpec number","Frequency","Turbo","Cores","L2 cache","L3 cache","I/O bus","Mult.","Memory","Voltage","TDP","Socket","Release date","Part number(s)","Release price (USD)"
"Quad Core","","","","","","","","","","","","","","",""
"Xeon X3430","SLBLJ (B1)","2.4 GHz","1/1/2/3","4","4 × 256 KiB","8 MiB","DMI","18×","2 × DDR3-1333","0.65–1.40 V","95 W","LGA 1156","September 8, 2009","BX80605X3430 BV80605001914AG","$189"
"Xeon X3440","SLBLF (B1)","2.53 GHz","1/1/2/3","4","4 × 256 KiB","8 MiB","DMI","19×","2 × DDR3-1333","0.65–1.40 V","95 W","LGA 1156","September 8, 2009","BX80605X3440 BV80605002517AQ","$215"
"Xeon X3450","SLBLD (B1)","2.67 GHz","1/1/4/4","4","4 × 256 KiB","8 MiB","DMI","20×","2 × DDR3-1333","0.65–1.40 V","95 W","LGA 1156","September 8, 2009","BX80605X3450 BV80605001911AQ","$241"
"Xeon X3460","SLBJK (B1)","2.8 GHz","1/1/4/5","4","4 × 256 KiB","8 MiB","DMI","21×","2 × DDR3-1333","0.65–1.40 V","95 W","LGA 1156","September 8, 2009","BX80605X3460 BV80605001908AL","$316"
"Xeon X3470","SLBJH (B1)","2.93 GHz","2/2/4/5","4","4 × 256 KiB","8 MiB","DMI","22×","2 × DDR3-1333","0.65–1.40 V","95 W","LGA 1156","September 8, 2009","BX80605X3470 BV80605001905AJ","$589"
"Xeon X3480","SLBPT (B1)","3.07 GHz","2/2/4/5","4","4 × 256 KiB","8 MiB","DMI","23×","2 × DDR3-1333","0.65–1.40 V","95 W","LGA 1156","May 30, 2010","BX80605X3480 BV80605002505AH","$612"
"Quad Core, low voltage","","","","","","","","","","","","","","",""
"Xeon L3426","SLBN3 (B1)","1.87 GHz","2/2/9/10","4","4 × 256 KiB","8 MiB","DMI","14×","2 × DDR3-1333","0.65–1.40 V","45 W","LGA 1156","September 8, 2009","BX80605L3426 BV80605004737AA","$284"
