"Model number","sSpec number","Cores (Threads)","Frequency","Turbo Boost All-Core/2.0 (/Max 3.0)","L2 cache","L3 cache","TDP","Socket","I/O bus","Memory","Release date","Part number(s)","Release price (USD)"
"Xeon W-2102","SR3LG (U0)","4 (4)","2.9 GHz","N/A","4 × 1 MiB","8.25 MiB","120 W","LGA 2066","DMI 3.0","4 × DDR4-2400","29 August 2017","CD8067303532802","$202"
"Xeon W-2104","SR3LH (U0)","4 (4)","3.2 GHz","N/A","4 × 1 MiB","8.25 MiB","120 W","LGA 2066","DMI 3.0","4 × DDR4-2400","29 August 2017","CD8067303532903","$255"
"Xeon W-2123","SR3LJ (U0)","4 (8)","3.6 GHz","3.9 GHz","4 × 1 MiB","8.25 MiB","120 W","LGA 2066","DMI 3.0","4 × DDR4-2666","29 August 2017","CD8067303533002","$294"
"Xeon W-2125","SR3LM (U0)","4 (8)","4 GHz","4.5 GHz","4 × 1 MiB","8.25 MiB","120 W","LGA 2066","DMI 3.0","4 × DDR4-2666","29 August 2017","CD8067303533303","$444"
"Xeon W-2133","SR3LL (U0)","6 (12)","3.6 GHz","3.9 GHz","6 × 1 MiB","8.25 MiB","140 W","LGA 2066","DMI 3.0","4 × DDR4-2666","29 August 2017","CD8067303533204","$617"
"Xeon W-2135","SR3LN (U0)","6 (12)","3.7 GHz","4.5 GHz","6 × 1 MiB","8.25 MiB","140 W","LGA 2066","DMI 3.0","4 × DDR4-2666","29 August 2017","CD8067303533403","$835"
"Xeon W-2140B","","8 (16)","3.2 GHz","4.2 GHz","8 × 1 MiB","11.00 MiB","","LGA 2066","DMI 3.0","4 × DDR4-2666","2017","","OEM for Apple"
"Xeon W-2145","SR3LQ (U0)","8 (16)","3.7 GHz","4.5 GHz","8 × 1 MiB","11.00 MiB","140 W","LGA 2066","DMI 3.0","4 × DDR4-2666","29 August 2017","CD8067303533601","$1113"
"Xeon W-2150B","","10 (20)","3 GHz","4.5 GHz","10 × 1 MiB","13.75 MiB","","LGA 2066","DMI 3.0","4 × DDR4-2666","2017","","OEM for Apple"
"Xeon W-2155","SR3LR (U0)","10 (20)","3.3 GHz","4.5 GHz","10 × 1 MiB","13.75 MiB","140 W","LGA 2066","DMI 3.0","4 × DDR4-2666","29 August 2017","CD8067303533703","$1440"
"Xeon W-2175","SR3W2 (M0)","14 (28)","2.5 GHz","4.3 GHz","14 × 1 MiB","19.25 MiB","140 W","LGA 2066","DMI 3.0","4 × DDR4-2666","15 October 2017","CD8067303842300","$1947"
"Xeon W-2195","SR3RX (U0)","18 (36)","2.3 GHz","4.3 GHz","18 × 1 MiB","24.75 MiB","140 W","LGA 2066","DMI 3.0","4 × DDR4-2666","29 August 2017","CD8067303805901","$2553"
