"Model number","sSpec number","Cores (Threads)","Frequency","Turbo","L2 cache","L3 cache","GPU model","GPU frequency","TDP","Socket","I/O bus","Release date","Part number(s)","Release price (USD)"
"Xeon E-2176M","","6 (12)","2.7 GHz","14/?/?/?/?/17","6 × 256 KiB","12 MiB","UHD Graphics 630","N/A","45 W","BGA 1440","DMI 3.0","March 2018","","$"
"Xeon E-2186M","","6 (12)","2.9 GHz","14/?/?/?/?/19","6 × 256 KiB","12 MiB","UHD Graphics 630","N/A","45 W","BGA 1440","DMI 3.0","March 2018","","$"
