"Model number","sSpec number","Cores","Frequency","Turbo","L2 cache","L3 cache","TDP","Socket","I/O bus","Memory","Release date","Part number(s)","Release price (USD)"
"Quad Core","","","","","","","","","","","","",""
"Xeon E5-2403 v2","SR1AL (S1)","4","1.8 GHz","N/A","4 × 256 KiB","10 MiB","80 W","LGA 1356","6.4 GT/s QPI","3 × DDR3-1333","Jan 9, 2014","CM8063401286702 BX80634E52403V2","$192"
"Xeon E5-2407 v2","SR1AK (S1)","4","2.4 GHz","N/A","4 × 256 KiB","10 MiB","80 W","LGA 1356","6.4 GT/s QPI","3 × DDR3-1333","Jan 9, 2014","CM8063401286600 BX80634E52407V2","$250"
"Six Core","","","","","","","","","","","","",""
"Xeon E5-2420 v2","SR1AJ (S1)","6","2.2 GHz","3/3/3/3/4/5","6 × 256 KiB","15 MiB","80 W","LGA 1356","7.2 GT/s QPI","3 × DDR3-1600","Jan 9, 2014","CM8063401286503 BX80634E52420V2","$406"
"Xeon E5-2430 v2","SR1AH (S1)","6","2.5 GHz","3/3/3/3/4/5","6 × 256 KiB","15 MiB","80 W","LGA 1356","7.2 GT/s QPI","3 × DDR3-1600","Jan 9, 2014","CM8063401286400 BX80634E52430V2","$551"
"Six Core, low power","","","","","","","","","","","","",""
"Xeon E5-2418L v2","SR1AV (S1)","6","2 GHz","N/A","6 × 256 KiB","15 MiB","50 W","LGA 1356","6.4 GT/s QPI","3 × DDR3-1333","Jan 9, 2014","CM8063401294008","$607"
"Xeon E5-2430L v2","SR1B2 (S1)","6","2.4 GHz","2/2/2/2/3/4","6 × 256 KiB","15 MiB","60 W","LGA 1356","7.2 GT/s QPI","3 × DDR3-1600","Jan 9, 2014","CM8063401376704","$612"
"Eight Core","","","","","","","","","","","","",""
"Xeon E5-2440 v2","SR19T (M1)","8","1.9 GHz","3/3/3/3/3/3/4/5","8 × 256 KiB","20 MiB","95 W","LGA 1356","7.2 GT/s QPI","3 × DDR3-1600","Jan 9, 2014","CM8063401286303 BX80634E52440V2","$832"
"Xeon E5-2450 v2","SR1A9 (M1)","8","2.5 GHz","4/4/4/4/5/6/7/8","8 × 256 KiB","20 MiB","95 W","LGA 1356","8.0 GT/s QPI","3 × DDR3-1600","Jan 9, 2014","CM8063401376400 BX80634E52450V2","$1107"
"Eight Core, low power","","","","","","","","","","","","",""
"Xeon E5-2428L v2","SR1A4 (M1)","8","1.8 GHz","2/2/3/3/4/4/5/5","8 × 256 KiB","20 MiB","60 W","LGA 1356","7.2 GT/s QPI","3 × DDR3-1600","Jan 9, 2014","CM8063401293902","$1013"
"Ten Core","","","","","","","","","","","","",""
"Xeon E5-2470 v2","SR19S (M1)","10","2.4 GHz","4/4/4/4/4/4/5/6/7/8","10 × 256 KiB","25 MiB","95 W","LGA 1356","8.0 GT/s QPI","3 × DDR3-1600","Jan 9, 2014","CM8063401286102 BX80634E52470V2","$1440"
"Ten Core, low power","","","","","","","","","","","","",""
"Xeon E5-2448L v2","SR1A3 (M1)","10","1.8 GHz","2/2/3/3/4/4/5/5/6/6","10 × 256 KiB","25 MiB","70 W","LGA 1356","8.0 GT/s QPI","3 × DDR3-1600","Jan 9, 2014","CM8063401293802","$1424"
"Xeon E5-2450L v2","SR19U (M1)","10","1.7 GHz","2/2/2/2/2/2/2/2/3/4","10 × 256 KiB","25 MiB","60 W","LGA 1356","7.2 GT/s QPI","3 × DDR3-1600","Jan 9, 2014","CM8063401287001","$1219"
