"Model number","sSpec number","Frequency","Turbo","Cores","L2 cache","L3 cache","I/O bus","Mult.","Memory","Voltage","TDP","Socket","Release date","Part number(s)","Release price (USD)"
"Dual Core","","","","","","","","","","","","","","",""
"Xeon X5698","SLC32 (B1)","4.4 GHz","0/1","2","2 × 256 KiB","12 MiB","2 × 6.4 GT/s QPI","33×","3 × DDR3-1333","0.75–1.35 V","130 W","LGA 1366","Q1, 2011","AT80614007314AA","OEM"
"Quad Core","","","","","","","","","","","","","","",""
"Xeon E5603","SLC2F (B1)","1.6 GHz","N/A","4","4 × 256 KiB","4 MiB","2 × 4.8 GT/s QPI","12×","3 × DDR3-1066","0.75–1.35 V","80 W","LGA 1366","February 14, 2011","AT80614006954AA BX80614E5603","$188"
"Xeon E5606","SLC2N (B1)","2.13 GHz","N/A","4","4 × 256 KiB","8 MiB","2 × 4.8 GT/s QPI","16×","3 × DDR3-1066","0.75–1.35 V","80 W","LGA 1366","February 14, 2011","AT80614007290AE BX80614E5606","$219"
"Xeon E5607","SLBZ9 (B1)","2.27 GHz","N/A","4","4 × 256 KiB","8 MiB","2 × 4.8 GT/s QPI","17×","3 × DDR3-1066","0.75–1.35 V","80 W","LGA 1366","February 14, 2011","AT80614006789AA BX80614E5607","$276"
"Xeon E5620","SLBV4 (B1)","2.4 GHz","1/1/2/2","4","4 × 256 KiB","12 MiB","2 × 5.86 GT/s QPI","18×","3 × DDR3-1066","0.75–1.35 V","80 W","LGA 1366","March 16, 2010","AT80614005073AB BX80614E5620","$387"
"Xeon E5630","SLBVB (B1)","2.53 GHz","1/1/2/2","4","4 × 256 KiB","12 MiB","2 × 5.86 GT/s QPI","19×","3 × DDR3-1066","0.75–1.35 V","80 W","LGA 1366","March 16, 2010","AT80614005463AA BX80614E5630","$551"
"Xeon E5640","SLBVC (B1)","2.67 GHz","1/1/2/2","4","4 × 256 KiB","12 MiB","2 × 5.86 GT/s QPI","20×","3 × DDR3-1066","0.75–1.35 V","80 W","LGA 1366","March 16, 2010","AT80614005466AA BX80614E5640","$774"
"Xeon X5647","SLBZ7 (B1)","2.93 GHz","1/1/2/2","4","4 × 256 KiB","12 MiB","2 × 5.86 GT/s QPI","22×","3 × DDR3-1066","0.75–1.35 V","130 W","LGA 1366","February 14, 2011","AT80614006780AA","$774"
