"Model number","sSpec number","Cores","Frequency","L2 cache","FSB","Mult.","Voltage","TDP","Socket","Release date","Part number(s)","Release price (USD)"
"Dual Core","","","","","","","","","","","",""
"Xeon E5205","SLANG (C0) SLBAU (E0)","2","1.87 GHz","6 MiB","1066 MT/s","7×","0.85–1.35 V","65 W","LGA 771","November 11, 2007","EU80573KH0366M AT80573KH0366M","$177"
"Xeon E5220","SLANF (C0) SLBAT (E0)","2","2.33 GHz","6 MiB","1333 MT/s","7×","0.85–1.35 V","65 W","LGA 771","February 27, 2008","EU80573KJ0536M AT80573QJ0536M","OEM"
"Xeon E5240","SLAND (C0) SLBAW (E0)","2","3 GHz","6 MiB","1333 MT/s","9×","0.85–1.35 V","65 W","LGA 771","February 27, 2008","EU80573KJ0806M AT80573QJ0806M","OEM"
"Xeon X5260","SLANJ (C0) SLBAS (E0)","2","3.33 GHz","6 MiB","1333 MT/s","10×","0.85–1.35 V","80 W","LGA 771","November 11, 2007","EU80573KJ0936M AT80573KJ0936M","$851"
"Xeon X5270","SLBAQ (E0)","2","3.5 GHz","6 MiB","1333 MT/s","10.5×","0.85–1.35 V","80 W","LGA 771","September 8, 2008","AT80573KJ1006M","$1172"
"Xeon X5272","SLANH (C0) SLBAR (E0)","2","3.4 GHz","6 MiB","1600 MT/s","8.5×","0.85–1.35 V","80 W","LGA 771","November 11, 2007","EU80573KL0966M AT80573KL0966M","$1172"
"Dual Core, low voltage","","","","","","","","","","","",""
"Xeon L5215","SLBB3 (E0)","2","1.87 GHz","6 MiB","1066 MT/s","7×","0.85–1.35 V","20 W","LGA 771","September 8, 2008","AT80573JH0366M","OEM"
"Xeon L5238","SLANM (C0) SLBAZ (E0)","2","2.67 GHz","6 MiB","1333 MT/s","8×","0.85–1.35 V","35 W","LGA 771","February 27, 2008","EU80573JJ0676M AT80573JJ0676MT","OEM"
"Xeon L5240","SLAS3 (C0) SLBAY (E0)","2","3 GHz","6 MiB","1333 MT/s","9×","0.85–1.35 V","40 W","LGA 771","February 27, 2008","EU80573JJ0806M AT80573JJ0806M","$669"
"Xeon L5248","SLBAV (E0)","2","3 GHz","6 MiB","1333 MT/s","9×","0.85–1.35 V","55 W","LGA 771","September 8, 2008","AT80573KJ0806MT","OEM"
