"Model number","sSpec number","Cores (Threads)","Frequency","Turbo Boost All-Core/2.0 (/Max 3.0)","L2 cache","L3 cache","TDP","Socket","I/O bus","Memory","Release date","Part number(s)","Release price (USD)"
"Xeon Bronze 3104","SR3GM (U0)","6 (6)","1.7 GHz","N/A","6 × 1 MiB","8.25 MiB","85 W","LGA 3647","2 × 9.6 GT/s UPI","6 × DDR4-2133","11 July 2017","CD8067303562000 BX806733104","$223 $213"
"Xeon Bronze 3106","SR3GL (U0)","8 (8)","1.7 GHz","N/A","8 × 1 MiB","11.00 MiB","85 W","LGA 3647","2 × 9.6 GT/s UPI","6 × DDR4-2133","11 July 2017","CD8067303561900 BX806733106","$306 $316"
"Xeon Silver 4108","SR3GJ (U0)","8 (16)","1.8 GHz","2.1/3.0 GHz","8 × 1 MiB","11.00 MiB","85 W","LGA 3647","2 × 9.6 GT/s UPI","6 × DDR4-2400","11 July 2017","CD8067303561500 BX806734108","$417 $427"
"Xeon Silver 4109T","SR3GP (U0)","8 (16)","2 GHz","2.3/3.0 GHz","8 × 1 MiB","11.00 MiB","70 W","LGA 3647","2 × 9.6 GT/s UPI","6 × DDR4-2400","11 July 2017","CD8067303562200","$501"
"Xeon Silver 4110","SR3GH (U0)","8 (16)","2.1 GHz","2.4/3.0 GHz","8 × 1 MiB","11.00 MiB","85 W","LGA 3647","2 × 9.6 GT/s UPI","6 × DDR4-2400","11 July 2017","CD8067303561400 BX806734110","$501 $511"
"Xeon Silver 4112","SR3GN (U0)","4 (8)","2.6 GHz","2.9/3.0 GHz","4 × 1 MiB","8.25 MiB","85 W","LGA 3647","2 × 9.6 GT/s UPI","6 × DDR4-2400","11 July 2017","CD8067303562100 BX806734112","$473 $483"
"Xeon Silver 4114","SR3GK (U0)","10 (20)","2.2 GHz","2.5/3.0 GHz","10 × 1 MiB","13.75 MiB","85 W","LGA 3647","2 × 9.6 GT/s UPI","6 × DDR4-2400","11 July 2017","CD8067303561800 BX806734114","$694 $704"
"Xeon Silver 4114T","SR3MM (U0)","10 (20)","2.2 GHz","2.5/3.0 GHz","10 × 1 MiB","13.75 MiB","85 W","LGA 3647","2 × 9.6 GT/s UPI","6 × DDR4-2400","Q3 2017","CD8067303645300","$773"
"Xeon Silver 4116","SR3HQ (M0)","12 (24)","2.1 GHz","2.4/3.0 GHz","12 × 1 MiB","16.50 MiB","85 W","LGA 3647","2 × 9.6 GT/s UPI","6 × DDR4-2400","11 July 2017","CD8067303567200 BX806734116","$1002 $1012"
"Xeon Silver 4116T","SR3MQ (U0)","12 (24)","2.1 GHz","2.4/3.0 GHz","12 × 1 MiB","16.50 MiB","85 W","LGA 3647","2 × 9.6 GT/s UPI","6 × DDR4-2400","Q3 2017","CD8067303645400","$1112"
