"Model number","sSpec number","Cores","Frequency","L2 cache","FSB","Mult.","Voltage","TDP","Socket","Release date","Part number(s)","Release price (USD)"
"Dual Core","","","","","","","","","","","",""
"Xeon 5110","SL9RZ (B2) SLABR (B2) SLAGE (G0)","2","1.6 GHz","4 MiB","1066 MT/s","6×","1.0–1.5 V","65 W","LGA 771","June 26, 2006","HH80556KH0254M BX805565110A BX805565110P","$209"
"Xeon 5120","SL9RY (B2) SLABQ (B2) SLAGD (G0)","2","1.87 GHz","4 MiB","1066 MT/s","7×","1.0–1.5 V","65 W","LGA 771","June 26, 2006","HH80556KH0364M BX805565120A BX805565120P","$256"
"Xeon 5130","SL9RX (B2) SLABP (B2) SLAGC (G0)","2","2 GHz","4 MiB","1333 MT/s","6×","1.0–1.5 V","65 W","LGA 771","June 26, 2006","HH80556KJ0414M BX805565130A BX805565130P","$316"
"Xeon 5140","SL9RW (B2) SLABN (B2) SLAGB (G0)","2","2.33 GHz","4 MiB","1333 MT/s","7×","1.0–1.5 V","65 W","LGA 771","June 26, 2006","HH80556KJ0534M BX805565140A BX805565140P","$455"
"Xeon 5150","SL9RU (B2) SLABM (B2) SLAGA (G0)","2","2.67 GHz","4 MiB","1333 MT/s","8×","1.0–1.5 V","65 W","LGA 771","June 26, 2006","HH80556KJ0674M BX805565150A BX805565150P","$690"
"Xeon 5160","SL9RT (B2) SLABS (B2) SLAG9 (G0)","2","3 GHz","4 MiB","1333 MT/s","9×","1.0–1.5 V","80 W","LGA 771","June 26, 2006","HH80556KJ0804M BX805565160A BX805565160P","$851"
"Dual Core, low voltage","","","","","","","","","","","",""
"Xeon LV 5113","SLABL (G0) SLAG7","2","1.6 GHz","4 MiB","800 MT/s","8×","1.15–1.25 V","40 W","LGA 771","December 4, 2006","HH80556JG0254M","OEM"
"Xeon LV 5128","SL9XA (B2) SLAG6 (G0)","2","1.87 GHz","4 MiB","1066 MT/s","7×","1.0V–1.5V V","40 W","LGA 771","December 4, 2006","HH80556JH0364M","$412"
"Xeon LV 5133","SLABJ (B2) SLAG5 (G0)","2","2.2 GHz","4 MiB","800 MT/s","11×","1.0–1.5 V","40 W","LGA 771","June 26, 2006","HH80556JG0494M","OEM"
"Xeon LV 5138","SL9RN (B2) SLAG3 (G0)","2","2.13 GHz","4 MiB","1066 MT/s","8×","1.0–1.5 V","35 W","LGA 771","December 4, 2006","HH80556JH0464M","$617"
"Xeon LV 5148","SL9RR (B2) SLABH (B2) SLAG4 (G0)","2","2.33 GHz","4 MiB","1333 MT/s","7×","1.0–1.5 V","40 W","LGA 771","September 27, 2006","HH80556JJ0534M BX805565148A BX805565148P","$519"
