"Model number","sSpec number","Cores","Frequency","L2 cache","FSB","Mult.","Voltage","TDP","Socket","Release date","Part number(s)","Release price (USD)"
"Dual Core","","","","","","","","","","","",""
"Xeon 3040","SL9VT (L2) SLAC2 (L2)","2","1.87 GHz","2 MiB","1066 MT/s","7×","0.85–1.5 V","65 W","LGA 775","January 21, 2007","HH80557KH0362M","$183"
"Xeon 3050","SL9VS (L2) SLABZ (L2)","2","2.13 GHz","2 MiB","1066 MT/s","8×","0.85–1.5 V","65 W","LGA 775","January 21, 2007","HH80557KH0462M","$224"
