"Model number","sSpec number","Frequency","L2 cache","FSB","Mult.","Voltage","TDP","Socket","Release date","Part number(s)","Release price (USD)"
"Pentium II Xeon 400","SL2RH (B0) SL344 (B0) SL34H (B1) SL35N (B1)","400 MHz","512 KiB","100 MT/s","4×","2.0 V","30.8 W","Slot 2","June 1998","80523KX400512 BX80523KX400512 BX80523KX40N512","$1124"
"Pentium II Xeon 400","SL2NB (B0) SL345 (B0) SL34J (B1) SL35P (B1)","400 MHz","1 MiB","100 MT/s","4×","2.0 V","38.1 W","Slot 2","June 1998","80523KX4001M BX80523KX40 BX80523KX40","$2836"
"Pentium II Xeon 450","SL2XJ (B1) SL354 (B1) SL36W (B1) SL33T (B1)","450 MHz","512 KiB","100 MT/s","4.5×","2.0 V","34.5 W","Slot 2","October 1998","80523KX450512 BX80523KX450512 BX80523KX45G512","$824"
"Pentium II Xeon 450","SL2XK (B1) SL33U (B1)","450 MHz","1 MiB","100 MT/s","4.5×","2.0 V","42.8 W","Slot 2","January 1999","80523KX4501M BX80523KX4501M","$1980"
"Pentium II Xeon 450","SL2XL (B1) SL33V (B1)","450 MHz","2 MiB","100 MT/s","4.5×","2.0 V","46.7 W","Slot 2","January 1999","80523KX4502M BX80523KX4502M","$3692"
