"Model number","sSpec number","Frequency","Turbo","Cores","L2 cache","L3 cache","I/O bus","Mult.","Memory","Voltage","TDP","Socket","Release date","Part number(s)","Release price (USD)"
"Quad Core","","","","","","","","","","","","","","",""
"Xeon E6510","SLBRL (D0)","1.73 GHz","N/A","4","4 × 256 KiB","12 MiB","4 × 4.8 GT/s QPI","13×","4 × DDR3-1333","0.675–1.35 V","105 W","LGA 1567","March 30, 2010","AT80604004896AA","$744"
"Xeon E7520","SLBRK (D0)","1.87 GHz","N/A","4","4 × 256 KiB","18 MiB","4 × 4.8 GT/s QPI","14×","4 × DDR3-1333","0.675–1.35 V","105 W","LGA 1567","March 30, 2010","AT80604004887AA","$856"
"Six Core","","","","","","","","","","","","","","",""
"Xeon E7530","SLBRJ (D0)","1.87 GHz","2133 MHz","6","6 × 256 KiB","12 MiB","4 × 5.86 GT/s QPI","14×","4 × DDR3-1333","0.675–1.35 V","105 W","LGA 1567","March 30, 2010","AT80604004884AA","$1391"
"Xeon E6540","SLBRC (D0)","2 GHz","2266 MHz","6","6 × 256 KiB","18 MiB","4 × 6.4 GT/s QPI","15×","4 × DDR3-1333","0.675–1.35 V","105 W","LGA 1567","March 30, 2010","AT80604001800AB","$1712"
"Xeon E7540","SLBRG (D0)","2 GHz","2266 MHz","6","6 × 256 KiB","18 MiB","4 × 6.4 GT/s QPI","15×","4 × DDR3-1333","0.675–1.35 V","105 W","LGA 1567","March 30, 2010","AT80604004878AA","$1980"
"Xeon X7542","SLBRM (D0)","2.67 GHz","2800 MHz","6","6 × 256 KiB","18 MiB","4 × 5.86 GT/s QPI","20×","4 × DDR3-1333","0.675–1.35 V","130 W","LGA 1567","March 30, 2010","AT80604005280AA","$1980"
"Six Core, low power","","","","","","","","","","","","","","",""
"Xeon L7545","SLBRH (D0)","1.87 GHz","2533 MHz","6","6 × 256 KiB","18 MiB","4 × 5.86 GT/s QPI","14×","4 × DDR3-1333","0.675–1.35 V","95 W","LGA 1567","March 30, 2010","AT80604004881AA","$2087"
"Eight Core","","","","","","","","","","","","","","",""
"Xeon X6550","SLBRB (D0)","2 GHz","2400 MHz","8","8 × 256 KiB","18 MiB","4 × 6.4 GT/s QPI","15×","4 × DDR3-1333","0.675–1.35 V","130 W","LGA 1567","March 30, 2010","AT80604001797AB","$2461"
"Xeon X7550","SLBRE (D0)","2 GHz","2400 MHz","8","8 × 256 KiB","18 MiB","4 × 6.4 GT/s QPI","15×","4 × DDR3-1333","0.675–1.35 V","130 W","LGA 1567","March 30, 2010","AT80604004872AA","$2729"
"Xeon X7560","SLBRD (D0)","2.27 GHz","2666 MHz","8","8 × 256 KiB","24 MiB","4 × 6.4 GT/s QPI","17×","4 × DDR3-1333","0.675–1.35 V","130 W","LGA 1567","March 30, 2010","AT80604004869AA","$3692"
"Eight Core, low power","","","","","","","","","","","","","","",""
"Xeon L7555","SLBRF (D0)","1.87 GHz","2533 MHz","8","8 × 256 KiB","24 MiB","4 × 5.86 GT/s QPI","14×","4 × DDR3-1333","0.675–1.35 V","95 W","LGA 1567","March 30, 2010","AT80604004875AA","$3157"
