"Model number","sSpec number","Cores","Frequency","Turbo","L2 cache","L3 cache","TDP","Socket","I/O bus","Memory","Release date","Part number(s)","Release price (USD)"
"Quad Core","","","","","","","","","","","","",""
"Xeon E5-2403","SR0LS (M1)","4","1.8 GHz","N/A","4 × 256 KiB","10 MiB","80 W","LGA 1356","6.4 GT/s QPI","3 × DDR3-1066","May 14, 2012","CM8062001048300 BX80621E52403","$188 $195"
"Xeon E5-2407","SR0LR (M1)","4","2.2 GHz","N/A","4 × 256 KiB","10 MiB","80 W","LGA 1356","6.4 GT/s QPI","3 × DDR3-1066","May 14, 2012","CM8062001048200 BX80621E52407","$250 $251"
"Quad Core, low power","","","","","","","","","","","","",""
"Xeon E5-2418L","SR0M5 (M1)","4","2 GHz","0/0/1/1","4 × 256 KiB","10 MiB","50 W","LGA 1356","6.4 GT/s QPI","3 × DDR3-1333","May 14, 2012","CM8062000911406","$387"
"Six Core","","","","","","","","","","","","",""
"Xeon E5-2420","SR0LN (C2)","6","1.9 GHz","3/3/4/4/5/5","6 × 256 KiB","15 MiB","95 W","LGA 1356","7.2 GT/s QPI","3 × DDR3-1333","May 14, 2012","CM8062001183000 BX80621E52420","$387 $391"
"Xeon E5-2430","SR0LM (C2)","6","2.2 GHz","3/3/4/4/5/5","6 × 256 KiB","15 MiB","95 W","LGA 1356","7.2 GT/s QPI","3 × DDR3-1333","May 14, 2012","CM8062001122601 BX80621E52430","$551 $554"
"Xeon E5-2440","SR0LK (C2)","6","2.4 GHz","3/3/4/4/5/5","6 × 256 KiB","15 MiB","95 W","LGA 1356","7.2 GT/s QPI","3 × DDR3-1333","May 14, 2012","CM8062000862604 BX80621E52440","$832 $837"
"Six Core, low power","","","","","","","","","","","","",""
"Xeon E5-2428L","SR0JV (C2) SR0M3 (C2)","6","1.8 GHz","0/0/1/1/2/2","6 × 256 KiB","15 MiB","60 W","LGA 1356","7.2 GT/s QPI","3 × DDR3-1333","May 14, 2012","CM8062007187509","$628"
"Xeon E5-2430L","SR0LL (C2)","6","2 GHz","3/3/4/4/5/5","6 × 256 KiB","15 MiB","60 W","LGA 1356","7.2 GT/s QPI","3 × DDR3-1333","May 14, 2012","CM8062000862912","$662"
"Eight Core","","","","","","","","","","","","",""
"Xeon E5-2450","SR0LJ (C2)","8","2.1 GHz","5/5/6/6/7/7/8/8","8 × 256 KiB","20 MiB","95 W","LGA 1356","8.0 GT/s QPI","3 × DDR3-1600","May 14, 2012","CM8062000862501 BX80621E52450","$1107 $1112"
"Xeon E5-2470","SR0LG (C2)","8","2.3 GHz","5/5/6/6/7/7/8/8","8 × 256 KiB","20 MiB","95 W","LGA 1356","8.0 GT/s QPI","3 × DDR3-1600","May 14, 2012","CM8062007187242 BX80621E52470","$1440 $1444"
"Eight Core, low power","","","","","","","","","","","","",""
"Xeon E5-2448L","SR0JU (C2) SR0M2 (C2)","8","1.8 GHz","0/0/1/1/2/2/3/3","8 × 256 KiB","20 MiB","70 W","LGA 1356","8.0 GT/s QPI","3 × DDR3-1600","May 14, 2012","CM8062007187409","$1151"
"Xeon E5-2449L","SR0R1 (C2)","8","1.4 GHz","1.8 GHz","8 × 256 KiB","20 MiB","50 W","LGA 1356","8.0 GT/s QPI","3 × DDR3-1600","May 14, 2012","CM8062001239600","OEM"
"Xeon E5-2450L","SR0LH (C2)","8","1.8 GHz","2/2/3/3/4/4/5/5","8 × 256 KiB","20 MiB","70 W","LGA 1356","8.0 GT/s QPI","3 × DDR3-1600","May 14, 2012","CM8062007283711","$1106"
