"Model number","sSpec number","Cores","Frequency","L2 cache","FSB","Mult.","Voltage","TDP","Socket","Release date","Part number(s)","Release price (USD)"
"Dual Core","","","","","","","","","","","",""
"Xeon 3040","SL9TW (B2)","2","1.87 GHz","2 MiB","1066 MT/s","7×","0.85–1.5 V","65 W","LGA 775","September 26, 2006","HH80557KH0362M","$183"
"Xeon 3050","SL9TY (B2)","2","2.13 GHz","2 MiB","1066 MT/s","8×","0.85–1.5 V","65 W","LGA 775","September 26, 2006","HH80557KH0462M","$224"
"Xeon 3060","SL9TZ (B2) SL9ZH (B2) SLACD (B2)","2","2.4 GHz","4 MiB","1066 MT/s","9×","0.85–1.5 V","65 W","LGA 775","September 26, 2006","HH80557KH0564M","$316"
"Xeon 3065","SLAA9 (G0)","2","2.33 GHz","4 MiB","1333 MT/s","7×","0.85–1.5 V","65 W","LGA 775","October 7, 2007","HH80557KJ0534MG","$163"
"Xeon 3070","SL9U2 (B2) SL9ZC (B2) SLACC (B2)","2","2.67 GHz","4 MiB","1066 MT/s","10×","0.85–1.5 V","65 W","LGA 775","September 26, 2006","HH80557KH0674M","$530"
"Xeon 3075","SLAA3 (G0)","2","2.67 GHz","4 MiB","1333 MT/s","8×","0.85–1.5 V","65 W","LGA 775","October 7, 2007","HH80557KJ0674MG","$183"
"Xeon 3085","SLAA2 (G0)","2","3 GHz","4 MiB","1333 MT/s","9×","0.85–1.5 V","65 W","LGA 775","October 7, 2007","HH80557KJ0804MG","$266"
