"Model number","sSpec number","Cores","Frequency","Turbo","L2 cache","L3 cache","TDP","Socket","I/O bus","Memory","Release date","Part number(s)","Release price (USD)"
"Four Core","","","","","","","","","","","","",""
"Xeon E7-8893 v3","SR226 (E0)","4","3.2 GHz","1/1/3/3","4 × 256 KiB","45 MiB","140 W","LGA 2011-1","3 × 9.6 GT/s QPI","4 × DDR3-1600 4 × DDR4-1866","May 6, 2015","CM8064501753602","$6841"
"Ten Core","","","","","","","","","","","","",""
"Xeon E7-8891 v3","SR225 (E0)","10","2.8 GHz","4/4/4/4/4/4/4/5/7/7","10 × 256 KiB","45 MiB","165 W","LGA 2011-1","3 × 9.6 GT/s QPI","4 × DDR3-1600 4 × DDR4-1866","May 6, 2015","CM8064501552202","$6841"
"Sixteen Core","","","","","","","","","","","","",""
"Xeon E7-8860 v3","SR21Z (E0)","16","2.2 GHz","4/4/4/4/4/4/4/4/4/4/5/6/7/8/10/10","16 × 256 KiB","40 MiB","140 W","LGA 2011-1","3 × 9.6 GT/s QPI","4 × DDR3-1600 4 × DDR4-1866","May 6, 2015","CM8064502017900","$4061"
"Xeon E7-8867 v3","SR228 (E0)","16","2.5 GHz","2/2/2/2/2/2/2/2/2/2/3/4/5/6/8/8","16 × 256 KiB","45 MiB","165 W","LGA 2011-1","3 × 9.6 GT/s QPI","4 × DDR3-1600 4 × DDR4-1866","May 6, 2015","CM8064502025001","$4672"
"Eighteen Core","","","","","","","","","","","","",""
"Xeon E7-8870 v3","SR21Y (E0)","18","2.1 GHz","4/4/4/4/4/4/4/4/4/4/4/4/4/4/5/6/8/8","18 × 256 KiB","45 MiB","140 W","LGA 2011-1","3 × 9.6 GT/s QPI","4 × DDR3-1600 4 × DDR4-1866","May 6, 2015","CM8064501550107","$4672"
"Xeon E7-8880 v3","SR21X (E0)","18","2.3 GHz","3/3/3/3/3/3/3/3/3/3/3/3/3/4/5/6/8/8","18 × 256 KiB","45 MiB","140 W","LGA 2011-1","3 × 9.6 GT/s QPI","4 × DDR3-1600 4 × DDR4-1866","May 6, 2015","CM8064501550002","$5895"
"Xeon E7-8880L v3","SR227 (E0)","18","2 GHz","4/4/4/4/4/4/4/4/4/4/4/4/4/4/5/6/8/8","18 × 256 KiB","45 MiB","115 W","LGA 2011-1","3 × 9.6 GT/s QPI","4 × DDR3-1600 4 × DDR4-1866","May 6, 2015","CM8064501552522","$6063"
"Xeon E7-8890 v3","SR21V (E0)","18","2.5 GHz","4/4/4/4/4/4/4/4/4/4/4/4/4/4/5/6/8/8","18 × 256 KiB","45 MiB","165 W","LGA 2011-1","3 × 9.6 GT/s QPI","4 × DDR3-1600 4 × DDR4-1866","May 6, 2015","CM8064501549928","$7174"
"Xeon E7-8895 v3","SR21W (E0)","18","2.6 GHz","4/4/4/4/6/6/7/7/7/7/8/8/9/9/9/9/9/9","18 × 256 KiB","45 MiB","175 W","LGA 2011-1","3 × 9.6 GT/s QPI","4 × DDR3-1600 4 × DDR4-1866","2015","CM8064501615901","OEM for Oracle"
