"Model number","sSpec number","Cores","Frequency","L2 cache","FSB","Mult.","Voltage","TDP","Socket","Release date","Part number(s)","Release price (USD)"
"Dual Core","","","","","","","","","","","",""
"Xeon E7210","SLA6D (G0)","2","2.4 GHz","2 × 4 MiB","1066 MT/s","9×","1.2–1.325 V","80 W","Socket 604","September 6, 2007","LF80564QH0568M","$856"
"Xeon E7220","SLA6C (G0)","2","2.93 GHz","2 × 4 MiB","1066 MT/s","11×","1.2–1.325 V","80 W","Socket 604","September 6, 2007","LF80564QH0778M","$1177"
"Quad Core","","","","","","","","","","","",""
"Xeon E7310","SLA6A (G0)","4","1.6 GHz","2 × 2 MiB","1066 MT/s","6×","1.2–1.35 V","80 W","Socket 604","September 6, 2007","LF80565QH0254M","$856"
"Xeon E7320","SLA69 (G0)","4","2.13 GHz","2 × 2 MiB","1066 MT/s","8×","1.2–1.35 V","80 W","Socket 604","September 6, 2007","LF80565QH0464M","$1177"
"Xeon E7330","SLA77 (G0)","4","2.4 GHz","2 × 3 MiB","1066 MT/s","9×","1.2–1.35 V","80 W","Socket 604","September 6, 2007","LF80565QH0566M","$1391"
"Xeon E7340","SLA68 (G0)","4","2.4 GHz","2 × 4 MiB","1066 MT/s","9×","1.2–1.35 V","80 W","Socket 604","September 6, 2007","LF80565QH0568M","$1980"
"Xeon X7350","SLA67 (G0)","4","2.93 GHz","2 × 4 MiB","1066 MT/s","11×","1.2–1.35 V","130 W","Socket 604","September 6, 2007","LF80565KH0778M","$2301"
"Quad Core, low voltage","","","","","","","","","","","",""
"Xeon L7345","SLA6B (G0)","4","1.87 GHz","2 × 4 MiB","1066 MT/s","7×","1.10–1.25 V","50 W","Socket 604","September 6, 2007","LF80565JH0368M","$2301"
