"Model number","sSpec number","Cores","Frequency","Turbo","L2 cache","L3 cache","TDP","Socket","I/O bus","Memory","Release date","Part number(s)","Release price (USD)"
"Xeon E7-4809 v4","SR2S5 (B0)","8","2.1 GHz","N/A","8 × 256 KiB","20 MiB","115 W","LGA 2011-1","3 × 6.4 GT/s QPI","4 × DDR4-1866 4 × DDR3-1333","June 6, 2016","CM8066902027604","$1223"
"Xeon E7-4820 v4","SR2S4 (B0)","10","2 GHz","N/A","10 × 256 KiB","25 MiB","115 W","LGA 2011-1","3 × 6.4 GT/s QPI","4 × DDR4-1866 4 × DDR3-1333","June 6, 2016","CM8066902027500","$1502"
"Xeon E7-4830 v4","SR2S3 (B0)","14","2 GHz","2/2/2/2/2/2/2/2/3/4/ 5/6/8/8","14 × 256 KiB","35 MiB","115 W","LGA 2011-1","3 × 8.0 GT/s QPI","4 × DDR4-1866 4 × DDR3-1600","June 6, 2016","CM8066902027102","$2170"
"Xeon E7-4850 v4","SR2S2 (B0)","16","2.1 GHz","3/3/3/3/3/3/3/3/3/3/ 3/3/4/5/7/7","16 × 256 KiB","40 MiB","115 W","LGA 2011-1","3 × 8.0 GT/s QPI","4 × DDR4-1866 4 × DDR3-1600","June 6, 2016","CM8066902026904","$3003"
