"Model number","sSpec number","Cores","Frequency","Turbo","L2 cache","L3 cache","GPU model","GPU frequency","TDP","Socket","I/O bus","Release date","Part number(s)","Release price (USD)"
"Quad Core","","","","","","","","","","","","","",""
"Xeon E3-1285 v4","SR2CX (G0)","4","3.5 GHz","3.8 GHz","4 × 256 KiB","6 MiB","Iris Pro Graphics P6300","300–1150 MHz","95 W","LGA 1150","DMI 2.0","June 2015","CM8065802482701","$557"
"Quad Core, low power","","","","","","","","","","","","","",""
"Xeon E3-1258L v4","SR2E9 (G0)","4","1.8 GHz","3.2 GHz","4 × 256 KiB","6 MiB","HD Graphics P5700","700–1000 MHz","47 W","BGA-1364","DMI 2.0","June 2015","FH8065802420602","$481"
"Xeon E3-1265L v4","SR2B3 (G0)","4","2.3 GHz","3.3 GHz","4 × 256 KiB","6 MiB","Iris Pro Graphics P6300","300–1050 MHz","35 W","LGA 1150","DMI 2.0","June 2015","CM8065802483001","$418"
"Xeon E3-1270L v4","","4","3 GHz","3.6 GHz","4 × 256 KiB","6 MiB","N/A (?)","N/A MHz","45 W","LGA 1150","DMI 2.0","","",""
"Xeon E3-1278L v4","SR2E7 (G0)","4","2 GHz","3.3 GHz","4 × 256 KiB","6 MiB","Iris Pro Graphics P6300","800–1000 MHz","47 W","BGA-1364","DMI 2.0","June 2015","FH8065802420303","$546"
"Xeon E3-1284L v4","","4","2.9 GHz","3.8 GHz","4 × 256 KiB","6 MiB","Iris Pro Graphics P6300","300–1150 MHz","47 W","LGA 1150","DMI 2.0","June 2015","",""
"Xeon E3-1285L v4","SR2B1 (G0)","4","3.4 GHz","3.8 GHz","4 × 256 KiB","6 MiB","Iris Pro Graphics P6300","300–1150 MHz","65 W","LGA 1150","DMI 2.0","June 2015","CM8065802482901","$445"
