"Model number","sSpec number","Cores","Frequency","Turbo","L2 cache","L3 cache","GPU model","GPU frequency","TDP","Socket","I/O bus","Release date","Part number(s)","Release price (USD)"
"Dual Core, ultra-low power","","","","","","","","","","","","","",""
"Xeon E3-1220L v3","SR1BT (C0)","2","1.1 GHz","1.5 GHz","2 × 256 KiB","4 MiB","N/A","N/A","13 W","LGA 1150","DMI 2.0","September 2013","CM8064601481914","$193"
"Quad Core","","","","","","","","","","","","","",""
"Xeon E3-1220 v3","SR154 (C0)","4","3.1 GHz","2/3/4/4","4 × 256 KiB","8 MiB","N/A","N/A","80 W","LGA 1150","DMI 2.0","June 2013","CM8064601467204 BX80646E31220V3","$193 $203"
"Xeon E3-1225 v3","SR14U (C0)","4","3.2 GHz","2/3/4/4","4 × 256 KiB","8 MiB","HD Graphics P4600","350–1200 MHz","84 W","LGA 1150","DMI 2.0","June 2013","CM8064601466507 BX80646E31225V3","$213 $224"
"Xeon E3-1226 v3","SR1R0 (C0)","4","3.3 GHz","2/3/4/4","4 × 256 KiB","8 MiB","HD Graphics P4600","350–1200 MHz","84 W","LGA 1150","DMI 2.0","May 2014","CM8064601575206 BX80646E31226V3","$213"
"Xeon E3-1230 v3","SR153 (C0)","4","3.3 GHz","2/3/4/4","4 × 256 KiB","8 MiB","N/A","N/A","80 W","LGA 1150","DMI 2.0","June 2013","CM8064601467202 BX80646E31230V3","$240 $250"
"Xeon E3-1231 v3","SR1R5 (C0)","4","3.4 GHz","2/3/4/4","4 × 256 KiB","8 MiB","N/A","N/A","80 W","LGA 1150","DMI 2.0","May 2014","CM8064601575332 BX80646E31231V3","$240"
"Xeon E3-1240 v3","SR152 (C0)","4","3.4 GHz","2/3/4/4","4 × 256 KiB","8 MiB","N/A","N/A","80 W","LGA 1150","DMI 2.0","June 2013","CM8064601467102 BX80646E31240V3","$262 $273"
"Xeon E3-1241 v3","SR1R4 (C0)","4","3.5 GHz","2/3/4/4","4 × 256 KiB","8 MiB","N/A","N/A","80 W","LGA 1150","DMI 2.0","May 2014","CM8064601575331 BX80646E31241V3","$262"
"Xeon E3-1245 v3","SR14T (C0)","4","3.4 GHz","2/3/4/4","4 × 256 KiB","8 MiB","HD Graphics P4600","350–1200 MHz","84 W","LGA 1150","DMI 2.0","June 2013","CM8064601466509 BX80646E31245V3","$276 $287"
"Xeon E3-1246 v3","SR1QZ (C0)","4","3.5 GHz","2/3/4/4","4 × 256 KiB","8 MiB","HD Graphics P4600","350–1200 MHz","84 W","LGA 1150","DMI 2.0","May 2014","CM8064601575205 BX80646E31246V3","$276"
"Xeon E3-1270 v3","SR151 (C0)","4","3.5 GHz","2/3/4/4","4 × 256 KiB","8 MiB","N/A","N/A","80 W","LGA 1150","DMI 2.0","June 2013","CM8064601467101 BX80646E31270V3","$328 $339"
"Xeon E3-1271 v3","SR1R3 (C0)","4","3.6 GHz","2/3/4/4","4 × 256 KiB","8 MiB","N/A","N/A","80 W","LGA 1150","DMI 2.0","May 2014","CM8064601575330 BX80646E31271V3","$328"
"Xeon E3-1275 v3","SR14S (C0)","4","3.5 GHz","2/3/4/4","4 × 256 KiB","8 MiB","HD Graphics P4600","350–1250 MHz","84 W","LGA 1150","DMI 2.0","June 2013","CM8064601466508 BX80646E31275V3","$339 $350"
"Xeon E3-1276 v3","SR1QW (C0)","4","3.6 GHz","2/3/4/4","4 × 256 KiB","8 MiB","HD Graphics P4600","350–1250 MHz","84 W","LGA 1150","DMI 2.0","May 2014","CM8064601575216 BX80646E31276V3","$339"
"Xeon E3-1280 v3","SR150 (C0)","4","3.6 GHz","2/3/4/4","4 × 256 KiB","8 MiB","N/A","N/A","82 W","LGA 1150","DMI 2.0","June 2013","CM8064601467001","$612"
"Xeon E3-1281 v3","SR1R2 (C0) SR21F (C0)","4","3.7 GHz","2/3/4/4","4 × 256 KiB","8 MiB","N/A","N/A","82 W","LGA 1150","DMI 2.0","May 2014","CM8064601575329","$612"
"Xeon E3-1285 v3","SR14W (C0)","4","3.6 GHz","2/3/4/4","4 × 256 KiB","8 MiB","HD Graphics P4700","350–1300 MHz","84 W","LGA 1150","DMI 2.0","June 2013","CM8064601466703","$662"
"Xeon E3-1286 v3","SR1QX (C0)","4","3.7 GHz","2/3/4/4","4 × 256 KiB","8 MiB","HD Graphics P4700","350–1300 MHz","84 W","LGA 1150","DMI 2.0","May 2014","CM8064601575203","$662"
"Quad Core, low power","","","","","","","","","","","","","",""
"Xeon E3-1265L v3","SR15A (C0)","4","2.5 GHz","6/9/11/12","4 × 256 KiB","8 MiB","HD Graphics (10 EUs)","350–1200 MHz","45 W","LGA 1150","DMI 2.0","June 2013","CM8064601467406","$294"
"Xeon E3-1268L v3","SR17Y (C0)","4","2.3 GHz","?/?/?/10","4 × 256 KiB","8 MiB","HD Graphics P4600","350–1000 MHz","45 W","LGA 1150","DMI 2.0","June 2013","CM8064601484200","$377"
"Xeon E3-1275L v3","SR1T7 (C0)","4","2.7 GHz","6/?/?/12","4 × 256 KiB","8 MiB","HD Graphics (10 EUs)","350–1200 MHz","45 W","LGA 1150","DMI 2.0","May 2014","CM8064601575224","$328"
"Xeon E3-1284L v3","SR1U0 (C0)","4","1.8 GHz","?/?/?/14","4 × 256 KiB","6 MiB","Iris Pro Graphics 5200","750–1000 MHz","47 W","BGA-1364","DMI 2.0","February 2014","CL8064701637600",""
"Xeon E3-1285L v3","SR14X (C0) SR15B (C0)","4","3.1 GHz","4/5/7/8","4 × 256 KiB","8 MiB","HD Graphics P4700","350–1250 MHz","65 W","LGA 1150","DMI 2.0","June 2013","CM8064601466804","$774"
"Xeon E3-1286L v3","SR1QY (C0)","4","3.2 GHz","4/5/7/8","4 × 256 KiB","8 MiB","HD Graphics P4700","350–1250 MHz","65 W","LGA 1150","DMI 2.0","May 2014","CM8064601575204","$774"
"Quad Core, ultra-low power","","","","","","","","","","","","","",""
"Xeon E3-1230L v3","SR158 (C0)","4","1.8 GHz","6/7/9/10","4 × 256 KiB","8 MiB","N/A","N/A","25 W","LGA 1150","DMI 2.0","June 2013","CM8064601467601","$250"
"Xeon E3-1240L v3","SR1T8 (C0)","4","2 GHz","6/7/9/10","4 × 256 KiB","8 MiB","N/A","N/A","25 W","LGA 1150","DMI 2.0","May 2014","CM8064601575341","$278"
