"Model number","sSpec number","Cores","Frequency","Turbo","L2 cache","L3 cache","TDP","Socket","I/O bus","Memory","Release date","Part number(s)","Release price (USD)"
"Eight Core","","","","","","","","","","","","",""
"Xeon E7-4809 v3","SR223 (E0)","8","2 GHz","N/A","8 × 256 KiB","20 MiB","115 W","LGA 2011-1","3 × 6.4 GT/s QPI","4 × DDR3-1333 4 × DDR4-1866","May 6, 2015","CM8064501551526","$1223"
"Ten Core","","","","","","","","","","","","",""
"Xeon E7-4820 v3","SR224 (E0)","10","1.9 GHz","N/A","10 × 256 KiB","25 MiB","115 W","LGA 2011-1","3 × 6.4 GT/s QPI","4 × DDR3-1333 4 × DDR4-1866","May 6, 2015","CM8064502020200","$1502"
"Twelve Core","","","","","","","","","","","","",""
"Xeon E7-4830 v3","SR222 (E0)","12","2.1 GHz","3/3/3/3/3/3/3/3/3/4/6/6","12 × 256 KiB","30 MiB","115 W","LGA 2011-1","3 × 8.0 GT/s QPI","4 × DDR3-1600 4 × DDR4-1866","May 6, 2015","CM8064502020101","$2170"
"Fourteen Core","","","","","","","","","","","","",""
"Xeon E7-4850 v3","SR221 (E0)","14","2.2 GHz","3/3/3/3/3/3/3/3/3/3/4/4/6/6","14 × 256 KiB","35 MiB","115 W","LGA 2011-1","3 × 8.0 GT/s QPI","4 × DDR3-1600 4 × DDR4-1866","May 6, 2015","CM8064501551702","$3003"
