"Model number","sSpec number","Cores","Frequency","Turbo","L2 cache","L3 cache","TDP","Socket","I/O bus","Memory","Release date","Part number(s)","Release price (USD)"
"Twelve Core","","","","","","","","","","","","",""
"Xeon E7-2850 v2","SR1F3 (D1)","12","2.3 GHz","3/3/3/3/3/3/3/ 3/3/3/4/5","12 × 256 KiB","24 MiB","105 W","LGA 2011-1","3 × 7.2 GT/s QPI","4 × DDR3-1600","Feb 18, 2014","CM8063601275706","$2558"
"Fifteen Core","","","","","","","","","","","","",""
"Xeon E7-2870 v2","SR1GR (D1)","15","2.3 GHz","4/4/4/4/4/4/4/ 4/4/4/4/4/4/5/6","15 × 256 KiB","30 MiB","130 W","LGA 2011-1","3 × 8.0 GT/s QPI","4 × DDR3-1600","Feb 18, 2014","CM8063601273406","$4227"
"Xeon E7-2880 v2","SR1GQ (D1)","15","2.5 GHz","4/4/4/4/4/4/4/ 4/4/4/4/4/4/5/6","15 × 256 KiB","37.5 MiB","130 W","LGA 2011-1","3 × 8.0 GT/s QPI","4 × DDR3-1600","Feb 18, 2014","CM8063601273306","$5339"
"Xeon E7-2890 v2","SR1GV (D1)","15","2.8 GHz","4/4/4/4/4/4/4/ 4/4/4/4/4/4/5/6","15 × 256 KiB","37.5 MiB","155 W","LGA 2011-1","3 × 8.0 GT/s QPI","4 × DDR3-1600","Feb 18, 2014","CM8063601375306","$6451"
