"Model number","sSpec number","Cores","Frequency","Turbo","L2 cache","L3 cache","TDP","Socket","I/O bus","Memory","Release date","Part number(s)","Release price (USD)"
"Quad Core","","","","","","","","","","","","",""
"Xeon E5-1603 v3","SR20K (R2)","4","2.8 GHz","N/A","4 × 256 KiB","10 MiB","140 W","LGA 2011-3","DMI 2.0","4 × DDR4-1866","Sep 8, 2014","CM8064401548605","$202"
"Xeon E5-1607 v3","SR20M (R2)","4","3.1 GHz","N/A","4 × 256 KiB","10 MiB","140 W","LGA 2011-3","DMI 2.0","4 × DDR4-1866","Sep 8, 2014","CM8064401736303","$225"
"Xeon E5-1620 v3","SR20P (R2)","4","3.5 GHz","1/1/1/1","4 × 256 KiB","10 MiB","140 W","LGA 2011-3","DMI 2.0","4 × DDR4-2133","Sep 8, 2014","CM8064401973600 BX80644E51620V3","$294"
"Xeon E5-1630 v3","SR20L (R2)","4","3.7 GHz","1/1/1/1","4 × 256 KiB","10 MiB","140 W","LGA 2011-3","DMI 2.0","4 × DDR4-2133","Sep 8, 2014","CM8064401614501","$372"
"Six Core","","","","","","","","","","","","",""
"Xeon E5-1650 v3","SR20J (R2)","6","3.5 GHz","1/1/1/1/3/3","6 × 256 KiB","15 MiB","140 W","LGA 2011-3","DMI 2.0","4 × DDR4-2133","Sep 8, 2014","CM8064401548111 BX80644E51650V3","$583"
"Eight Core","","","","","","","","","","","","",""
"Xeon E5-1660 v3","SR20N (R2)","8","3 GHz","3/3/3/3/3/3/5/5","8 × 256 KiB","20 MiB","140 W","LGA 2011-3","DMI 2.0","4 × DDR4-2133","Sep 8, 2014","CM8064401909200","$1080"
"Xeon E5-1680 v3","SR20H (R2)","8","3.2 GHz","3/3/3/3/3/4/6/6","8 × 256 KiB","20 MiB","140 W","LGA 2011-3","DMI 2.0","4 × DDR4-2133","Sep 8, 2014","CM8064401547809","$1723"
"Ten Core","","","","","","","","","","","","",""
"Xeon E5-1681 v3","SR1Y2 (M1)","10","2.9 GHz","3/3/3/3/3/3/3/4/6/6","10 × 256 KiB","25 MiB","135 W","LGA 2011-3","DMI 2.0","4 × DDR4-2133","Sep 8, 2014","CM8064401576003",""
"Twelve Core","","","","","","","","","","","","",""
"Xeon E5-1686 v3","SR1YB (M1)","12","2.6 GHz","2/2/2/2/2/2/2/3/4/5/6/6","12 × 256 KiB","30 MiB","135 W","LGA 2011-3","DMI 2.0","4 × DDR4-2133","Sep 8, 2014","CM8064401725600",""
"Fourteen Core","","","","","","","","","","","","",""
"Xeon E5-1691 v3","SR1XJ (C1)","14","2.5 GHz","5/5/5/5/5/5/5/5/5/5/6/7/9/9","14 × 256 KiB","35 MiB","135 W","LGA 2011-3","DMI 2.0","4 × DDR4-2133","Sep 8, 2014","CM8064401575939",""
