"Model number","sSpec number","Cores","Frequency","Turbo","L2 cache","L3 cache","TDP","Socket","I/O bus","Memory","Release date","Part number(s)","Release price (USD)"
"Quad Core","","","","","","","","","","","","",""
"Xeon E5-1603 v4","SR2PG (R0)","4","2.8 GHz","N/A","4 × 256 KiB","10 MiB","140 W","LGA 2011-3","DMI 2.0","4 × DDR4-2133","June 2016","CM8066002395400",""
"Xeon E5-1607 v4","SR2PH (R0)","4","3.1 GHz","N/A","4 × 256 KiB","10 MiB","140 W","LGA 2011-3","DMI 2.0","4 × DDR4-2133","June 2016","CM8066002395500",""
"Xeon E5-1620 v4","SR2P6 (R0)","4","3.5 GHz","1/?/?/3","4 × 256 KiB","10 MiB","140 W","LGA 2011-3","DMI 2.0","4 × DDR4-2400","June 2016","CM8066002044103 BX80660E51620V4","$294"
"Xeon E5-1630 v4","SR2PF (R0)","4","3.7 GHz","1/1/3/3","4 × 256 KiB","10 MiB","140 W","LGA 2011-3","DMI 2.0","4 × DDR4-2400","June 2016","CM8066002395300","$406"
"Six Core","","","","","","","","","","","","",""
"Xeon E5-1650 v4","SR2P7 (R0)","6","3.6 GHz","2/2/2/2/4/4","6 × 256 KiB","15 MiB","140 W","LGA 2011-3","DMI 2.0","4 × DDR4-2400","June 2016","CM8066002044306 BX80660E51650V4","$617"
"Eight Core","","","","","","","","","","","","",""
"Xeon E5-1660 v4","SR2PK (R0)","8","3.2 GHz","2/?/?/?/?/?/?/4","8 × 256 KiB","20 MiB","140 W","LGA 2011-3","DMI 2.0","4 × DDR4-2400","June 2016","CM8066002646401","$1113"
"Xeon E5-1680 v4","SR2P8 (R0)","8","3.4 GHz","2/?/?/?/?/?/?/6","8 × 256 KiB","20 MiB","140 W","LGA 2011-3","DMI 2.0","4 × DDR4-2400","June 2016","CM8066002044401","$1723"
