"Model number","sSpec number","Frequency","Turbo","Cores","L2 cache","L3 cache","I/O bus","Mult.","Memory","Voltage","TDP","Socket","Release date","Part number(s)","Release price (USD)"
"Dual Core","","","","","","","","","","","","","","",""
"Xeon EC5539","SLBWL (B0)","2.27 GHz","N/A","2","2 × 256 KiB","4 MiB","1 × 5.86 GT/s QPI","17×","3 × DDR3-1333","0.75–1.35 V","65 W","LGA 1366","February 12, 2010","AT80612003861AB","$388"
"Quad Core","","","","","","","","","","","","","","",""
"Xeon EC5509","SLBWM (B0)","2 GHz","N/A","4","4 × 256 KiB","8 MiB","1 × 4.8 GT/s QPI","15×","3 × DDR3-1066","0.75–1.35 V","85 W","LGA 1366","February 12, 2010","AT80612004740AA","$266"
"Xeon EC5549","SLBWP (B0)","2.53 GHz","2933 MHz","4","4 × 256 KiB","8 MiB","1 × 5.86 GT/s QPI","19×","3 × DDR3-1333","0.75–1.35 V","85 W","LGA 1366","February 12, 2010","AT80612005712AB","$530"
"Quad Core, low voltage","","","","","","","","","","","","","","",""
"Xeon LC5518","SLBWF (B0)","1.73 GHz","2133 MHz","4","4 × 256 KiB","8 MiB","1 × 4.8 GT/s QPI","13×","3 × DDR3-1066","0.75–1.35 V","48 W","LGA 1366","February 12, 2010","AT80612002928AC","$519"
"Xeon LC5528","SLBWK (B0)","2.13 GHz","2533 MHz","4","4 × 256 KiB","8 MiB","1 × 4.8 GT/s QPI","16×","3 × DDR3-1066","0.75–1.35 V","60 W","LGA 1366","February 12, 2010","AT80612003858AA","$519"
